,Trapnest,Date,Nest_ID,Site,Subsite,Treatment,Cavity_number,Straw_ID,Filled_length_mm,Straw_length_mm,Cavity_ID,Status,Occupant,Good_days,Bee_choice,New_nests_os,New_nests_meg,New_nest_sum,Osmia_ps_prior,Osmia_no_ps_prior,Meg_ps_prior,Meg_no_ps_prior,Number_of_cells,Cumulative_par,Prop_cells_par,Par_in_trapnest,Day_of_year
1527,trapnest_12,2023-05-11,12_5a,BP,D,High,5,a,115.52,142.83,12_5,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1543,trapnest_12,2023-05-11,12_6a,BP,D,High,6,a,NA,NA,12_6,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1562,trapnest_12,2023-05-11,12_7a,BP,D,High,7,a,NA,NA,12_7,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1585,trapnest_12,2023-05-11,12_8a,BP,D,High,8,a,NA,NA,12_8,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1608,trapnest_12,2023-05-11,12_9a,BP,D,High,9,a,NA,NA,12_9,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1241,trapnest_12,2023-05-11,12_10a,BP,D,High,10,a,NA,NA,12_10,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1264,trapnest_12,2023-05-11,12_11a,BP,D,High,11,a,NA,NA,12_11,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1283,trapnest_12,2023-05-11,12_12a,BP,D,High,12,a,NA,NA,12_12,pseudo,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1304,trapnest_12,2023-05-11,12_13a,BP,D,High,13,a,NA,NA,12_13,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1327,trapnest_12,2023-05-11,12_14a,BP,D,High,14,a,NA,NA,12_14,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1350,trapnest_12,2023-05-11,12_15a,BP,D,High,15,a,116.97,145.25,12_15,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1370,trapnest_12,2023-05-11,12_16a,BP,D,High,16,a,5.27,143.33,12_16,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1392,trapnest_12,2023-05-11,12_17a,BP,D,High,17,a,NA,NA,12_17,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1415,trapnest_12,2023-05-11,12_18a,BP,D,High,18,a,83.98,144.81,12_18,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,131
1436,trapnest_12,2023-05-12,12_1a,BP,D,High,1,a,NA,NA,12_1,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1459,trapnest_12,2023-05-12,12_2a,BP,D,High,2,a,NA,NA,12_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1482,trapnest_12,2023-05-12,12_3a,BP,D,High,3,a,NA,NA,12_3,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1505,trapnest_12,2023-05-12,12_4a,BP,D,High,4,a,NA,NA,12_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1528,trapnest_12,2023-05-12,12_5a,BP,D,High,5,a,115.52,142.83,12_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1544,trapnest_12,2023-05-12,12_6a,BP,D,High,6,a,NA,NA,12_6,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1563,trapnest_12,2023-05-12,12_7a,BP,D,High,7,a,NA,NA,12_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1586,trapnest_12,2023-05-12,12_8a,BP,D,High,8,a,NA,NA,12_8,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1609,trapnest_12,2023-05-12,12_9a,BP,D,High,9,a,NA,NA,12_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1242,trapnest_12,2023-05-12,12_10a,BP,D,High,10,a,NA,NA,12_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1265,trapnest_12,2023-05-12,12_11a,BP,D,High,11,a,NA,NA,12_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1284,trapnest_12,2023-05-12,12_12a,BP,D,High,12,a,NA,NA,12_12,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1305,trapnest_12,2023-05-12,12_13a,BP,D,High,13,a,NA,NA,12_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1328,trapnest_12,2023-05-12,12_14a,BP,D,High,14,a,NA,NA,12_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1351,trapnest_12,2023-05-12,12_15a,BP,D,High,15,a,116.97,145.25,12_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1371,trapnest_12,2023-05-12,12_16a,BP,D,High,16,a,5.27,143.33,12_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1393,trapnest_12,2023-05-12,12_17a,BP,D,High,17,a,NA,NA,12_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1416,trapnest_12,2023-05-12,12_18a,BP,D,High,18,a,83.98,144.81,12_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,132
1437,trapnest_12,2023-05-15,12_1a,BP,D,High,1,a,NA,NA,12_1,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1460,trapnest_12,2023-05-15,12_2a,BP,D,High,2,a,NA,NA,12_2,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1483,trapnest_12,2023-05-15,12_3a,BP,D,High,3,a,NA,NA,12_3,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1506,trapnest_12,2023-05-15,12_4a,BP,D,High,4,a,NA,NA,12_4,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1545,trapnest_12,2023-05-15,12_6a,BP,D,High,6,a,NA,NA,12_6,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1564,trapnest_12,2023-05-15,12_7a,BP,D,High,7,a,NA,NA,12_7,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1587,trapnest_12,2023-05-15,12_8a,BP,D,High,8,a,NA,NA,12_8,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1610,trapnest_12,2023-05-15,12_9a,BP,D,High,9,a,NA,NA,12_9,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1243,trapnest_12,2023-05-15,12_10a,BP,D,High,10,a,NA,NA,12_10,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1266,trapnest_12,2023-05-15,12_11a,BP,D,High,11,a,NA,NA,12_11,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1285,trapnest_12,2023-05-15,12_12a,BP,D,High,12,a,NA,NA,12_12,pseudo,osmia,3,NA,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1306,trapnest_12,2023-05-15,12_13a,BP,D,High,13,a,NA,NA,12_13,empty,none,3,0,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1329,trapnest_12,2023-05-15,12_14a,BP,D,High,14,a,NA,NA,12_14,empty,none,3,0,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1352,trapnest_12,2023-05-15,12_15a,BP,D,High,15,a,116.97,145.25,12_15,empty,none,3,0,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1372,trapnest_12,2023-05-15,12_16a,BP,D,High,16,a,5.27,143.33,12_16,empty,none,3,0,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1394,trapnest_12,2023-05-15,12_17a,BP,D,High,17,a,NA,NA,12_17,empty,none,3,0,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1417,trapnest_12,2023-05-15,12_18a,BP,D,High,18,a,83.98,144.81,12_18,empty,none,3,0,1,NA,1,11,0,NA,NA,NA,NA,NA,0,135
1438,trapnest_12,2023-05-16,12_1a,BP,D,High,1,a,NA,NA,12_1,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1461,trapnest_12,2023-05-16,12_2a,BP,D,High,2,a,NA,NA,12_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1484,trapnest_12,2023-05-16,12_3a,BP,D,High,3,a,NA,NA,12_3,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1507,trapnest_12,2023-05-16,12_4a,BP,D,High,4,a,NA,NA,12_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1529,trapnest_12,2023-05-16,12_5a,BP,D,High,5,a,115.52,142.83,12_5,no change,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1546,trapnest_12,2023-05-16,12_6a,BP,D,High,6,a,NA,NA,12_6,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1565,trapnest_12,2023-05-16,12_7a,BP,D,High,7,a,NA,NA,12_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1588,trapnest_12,2023-05-16,12_8a,BP,D,High,8,a,NA,NA,12_8,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1611,trapnest_12,2023-05-16,12_9a,BP,D,High,9,a,NA,NA,12_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1244,trapnest_12,2023-05-16,12_10a,BP,D,High,10,a,NA,NA,12_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1267,trapnest_12,2023-05-16,12_11a,BP,D,High,11,a,NA,NA,12_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1286,trapnest_12,2023-05-16,12_12a,BP,D,High,12,a,NA,NA,12_12,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1307,trapnest_12,2023-05-16,12_13a,BP,D,High,13,a,NA,NA,12_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1330,trapnest_12,2023-05-16,12_14a,BP,D,High,14,a,NA,NA,12_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1353,trapnest_12,2023-05-16,12_15a,BP,D,High,15,a,116.97,145.25,12_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1373,trapnest_12,2023-05-16,12_16a,BP,D,High,16,a,5.27,143.33,12_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1395,trapnest_12,2023-05-16,12_17a,BP,D,High,17,a,NA,NA,12_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1418,trapnest_12,2023-05-16,12_18a,BP,D,High,18,a,83.98,144.81,12_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,136
1439,trapnest_12,2023-05-17,12_1a,BP,D,High,1,a,NA,NA,12_1,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1462,trapnest_12,2023-05-17,12_2a,BP,D,High,2,a,NA,NA,12_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1485,trapnest_12,2023-05-17,12_3a,BP,D,High,3,a,NA,NA,12_3,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1508,trapnest_12,2023-05-17,12_4a,BP,D,High,4,a,NA,NA,12_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1547,trapnest_12,2023-05-17,12_6a,BP,D,High,6,a,NA,NA,12_6,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1566,trapnest_12,2023-05-17,12_7a,BP,D,High,7,a,NA,NA,12_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1589,trapnest_12,2023-05-17,12_8a,BP,D,High,8,a,NA,NA,12_8,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1612,trapnest_12,2023-05-17,12_9a,BP,D,High,9,a,NA,NA,12_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1245,trapnest_12,2023-05-17,12_10a,BP,D,High,10,a,NA,NA,12_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1268,trapnest_12,2023-05-17,12_11a,BP,D,High,11,a,NA,NA,12_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1287,trapnest_12,2023-05-17,12_12a,BP,D,High,12,a,NA,NA,12_12,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1308,trapnest_12,2023-05-17,12_13a,BP,D,High,13,a,NA,NA,12_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1331,trapnest_12,2023-05-17,12_14a,BP,D,High,14,a,NA,NA,12_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1354,trapnest_12,2023-05-17,12_15a,BP,D,High,15,a,116.97,145.25,12_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1374,trapnest_12,2023-05-17,12_16a,BP,D,High,16,a,5.27,143.33,12_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1396,trapnest_12,2023-05-17,12_17a,BP,D,High,17,a,NA,NA,12_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1419,trapnest_12,2023-05-17,12_18a,BP,D,High,18,a,83.98,144.81,12_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,137
1440,trapnest_12,2023-05-19,12_1a,BP,D,High,1,a,NA,NA,12_1,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1463,trapnest_12,2023-05-19,12_2a,BP,D,High,2,a,NA,NA,12_2,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1486,trapnest_12,2023-05-19,12_3a,BP,D,High,3,a,NA,NA,12_3,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1509,trapnest_12,2023-05-19,12_4a,BP,D,High,4,a,NA,NA,12_4,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1548,trapnest_12,2023-05-19,12_6a,BP,D,High,6,a,NA,NA,12_6,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1567,trapnest_12,2023-05-19,12_7a,BP,D,High,7,a,NA,NA,12_7,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1590,trapnest_12,2023-05-19,12_8a,BP,D,High,8,a,NA,NA,12_8,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1613,trapnest_12,2023-05-19,12_9a,BP,D,High,9,a,NA,NA,12_9,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1246,trapnest_12,2023-05-19,12_10a,BP,D,High,10,a,NA,NA,12_10,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1269,trapnest_12,2023-05-19,12_11a,BP,D,High,11,a,NA,NA,12_11,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1288,trapnest_12,2023-05-19,12_12a,BP,D,High,12,a,NA,NA,12_12,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1309,trapnest_12,2023-05-19,12_13a,BP,D,High,13,a,NA,NA,12_13,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1332,trapnest_12,2023-05-19,12_14a,BP,D,High,14,a,NA,NA,12_14,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1355,trapnest_12,2023-05-19,12_15a,BP,D,High,15,a,116.97,145.25,12_15,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1375,trapnest_12,2023-05-19,12_16a,BP,D,High,16,a,5.27,143.33,12_16,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1397,trapnest_12,2023-05-19,12_17a,BP,D,High,17,a,NA,NA,12_17,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1420,trapnest_12,2023-05-19,12_18a,BP,D,High,18,a,83.98,144.81,12_18,empty,none,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,139
1441,trapnest_12,2023-05-21,12_1a,BP,D,High,1,a,NA,NA,12_1,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1464,trapnest_12,2023-05-21,12_2a,BP,D,High,2,a,NA,NA,12_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1487,trapnest_12,2023-05-21,12_3a,BP,D,High,3,a,NA,NA,12_3,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1510,trapnest_12,2023-05-21,12_4a,BP,D,High,4,a,NA,NA,12_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1530,trapnest_12,2023-05-21,12_5a,BP,D,High,5,a,115.52,142.83,12_5,no change,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1568,trapnest_12,2023-05-21,12_7a,BP,D,High,7,a,NA,NA,12_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1591,trapnest_12,2023-05-21,12_8a,BP,D,High,8,a,NA,NA,12_8,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1614,trapnest_12,2023-05-21,12_9a,BP,D,High,9,a,NA,NA,12_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1247,trapnest_12,2023-05-21,12_10a,BP,D,High,10,a,NA,NA,12_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1270,trapnest_12,2023-05-21,12_11a,BP,D,High,11,a,NA,NA,12_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1289,trapnest_12,2023-05-21,12_12a,BP,D,High,12,a,NA,NA,12_12,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1310,trapnest_12,2023-05-21,12_13a,BP,D,High,13,a,NA,NA,12_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1333,trapnest_12,2023-05-21,12_14a,BP,D,High,14,a,NA,NA,12_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1356,trapnest_12,2023-05-21,12_15a,BP,D,High,15,a,116.97,145.25,12_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1376,trapnest_12,2023-05-21,12_16a,BP,D,High,16,a,5.27,143.33,12_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1398,trapnest_12,2023-05-21,12_17a,BP,D,High,17,a,NA,NA,12_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1421,trapnest_12,2023-05-21,12_18a,BP,D,High,18,a,83.98,144.81,12_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1549,trapnest_12,2023-05-21,12_6b,BP,D,High,6,b,103.97,143.76,12_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
1442,trapnest_12,2023-05-22,12_1a,BP,D,High,1,a,NA,NA,12_1,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1465,trapnest_12,2023-05-22,12_2a,BP,D,High,2,a,NA,NA,12_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1488,trapnest_12,2023-05-22,12_3a,BP,D,High,3,a,NA,NA,12_3,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1511,trapnest_12,2023-05-22,12_4a,BP,D,High,4,a,NA,NA,12_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1569,trapnest_12,2023-05-22,12_7a,BP,D,High,7,a,NA,NA,12_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1592,trapnest_12,2023-05-22,12_8a,BP,D,High,8,a,NA,NA,12_8,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1615,trapnest_12,2023-05-22,12_9a,BP,D,High,9,a,NA,NA,12_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1248,trapnest_12,2023-05-22,12_10a,BP,D,High,10,a,NA,NA,12_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1271,trapnest_12,2023-05-22,12_11a,BP,D,High,11,a,NA,NA,12_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1290,trapnest_12,2023-05-22,12_12a,BP,D,High,12,a,NA,NA,12_12,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1311,trapnest_12,2023-05-22,12_13a,BP,D,High,13,a,NA,NA,12_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1334,trapnest_12,2023-05-22,12_14a,BP,D,High,14,a,NA,NA,12_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1357,trapnest_12,2023-05-22,12_15a,BP,D,High,15,a,116.97,145.25,12_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1377,trapnest_12,2023-05-22,12_16a,BP,D,High,16,a,5.27,143.33,12_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1399,trapnest_12,2023-05-22,12_17a,BP,D,High,17,a,NA,NA,12_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1422,trapnest_12,2023-05-22,12_18a,BP,D,High,18,a,83.98,144.81,12_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1550,trapnest_12,2023-05-22,12_6b,BP,D,High,6,b,103.97,143.76,12_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
1443,trapnest_12,2023-05-23,12_1a,BP,D,High,1,a,NA,NA,12_1,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1466,trapnest_12,2023-05-23,12_2a,BP,D,High,2,a,NA,NA,12_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1489,trapnest_12,2023-05-23,12_3a,BP,D,High,3,a,NA,NA,12_3,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1512,trapnest_12,2023-05-23,12_4a,BP,D,High,4,a,NA,NA,12_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1570,trapnest_12,2023-05-23,12_7a,BP,D,High,7,a,NA,NA,12_7,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1593,trapnest_12,2023-05-23,12_8a,BP,D,High,8,a,NA,NA,12_8,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1616,trapnest_12,2023-05-23,12_9a,BP,D,High,9,a,NA,NA,12_9,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1249,trapnest_12,2023-05-23,12_10a,BP,D,High,10,a,NA,NA,12_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1272,trapnest_12,2023-05-23,12_11a,BP,D,High,11,a,NA,NA,12_11,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1291,trapnest_12,2023-05-23,12_12a,BP,D,High,12,a,NA,NA,12_12,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1312,trapnest_12,2023-05-23,12_13a,BP,D,High,13,a,NA,NA,12_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1335,trapnest_12,2023-05-23,12_14a,BP,D,High,14,a,NA,NA,12_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1358,trapnest_12,2023-05-23,12_15a,BP,D,High,15,a,116.97,145.25,12_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1378,trapnest_12,2023-05-23,12_16a,BP,D,High,16,a,5.27,143.33,12_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1400,trapnest_12,2023-05-23,12_17a,BP,D,High,17,a,NA,NA,12_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1423,trapnest_12,2023-05-23,12_18a,BP,D,High,18,a,83.98,144.81,12_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1551,trapnest_12,2023-05-23,12_6b,BP,D,High,6,b,103.97,143.76,12_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
1444,trapnest_12,2023-05-26,12_1a,BP,D,High,1,a,NA,NA,12_1,pseudo,osmia,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,146
