"","Site","Subsite","Trapnest","Treatment","Straw_ID","Date","Day_of_year","Filled_length_mm","Straw_length_mm","Nest_ID","Status","Sealed","Nest_parasitized","Occupant","Good_days","Bee_choice","Available_post","New_nests_os","New_nests_meg","Available_cavities_prior","New_nests_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_active_mothers","Meg_active_mothers","Sum_unsealed_os","Sum_unsealed_meg","DP_os_prior","NDP_os_prior","NDP_ps_os_prior","DP_meg_prior","NDP_meg_prior","NDP_ps_meg_prior","Abandoned_inner_wall","Year","Straw_length","Filled_length"
"30","BP","F","trapnest_16","Low","a",2023-05-12,132,86.8,140.489,"16_5a","1 cell","not sealed","not parasitized","osmia",1,1,16,1,0,17,1,1,1,0,0,2,0,2,NA,0,1,1,0,0,0,0,"year_2023",140,87
"31","BP","F","trapnest_16","Low","b",2023-05-23,143,77,133,"16_5b","2 cells","not sealed","not parasitized","osmia",1,1,16,1,0,17,1,1,1,0,0,1,0,2,NA,1,0,0,0,0,0,0,"year_2023",133,77
"32","BP","F","trapnest_16","Low","c",2023-06-02,153,19.57,142.88,"16_5c","3 cells + end cap","sealed","parasitized","osmia",2,1,14,1,0,15,1,3,3,0,0,1,0,1,NA,0,3,3,0,0,0,0,"year_2023",143,20
"33","BP","F","trapnest_16","Low","a",2023-05-29,149,41.41,142.06,"16_6a","5 cells + end cap","sealed","not parasitized","osmia",1,1,12,4,0,16,4,3.5,3.5,0,0,3,0,3,NA,0,4,4,0,0,0,0,"year_2023",142,41
"34","BP","F","trapnest_16","Low","b",2023-05-31,151,58.2,150.21,"16_6b","1 cell + end cap","sealed","not parasitized","osmia",2,1,12,2,0,14,2,4.5,4.5,0,0,2,0,3,NA,0,5,5,0,0,0,0,"year_2023",150,58
"35","BP","F","trapnest_16","Low","a",2023-05-15,135,26.95,123.63,"16_8a","1 cell","not sealed","parasitized","osmia",3,1,16,1,0,17,1,1,1,0,0,2,0,2,NA,0,1,1,0,0,0,0,"year_2023",124,27
"36","BP","F","trapnest_16","Low","b",2023-05-31,151,33.96,149.35,"16_8b","2 cells","not sealed","not parasitized","osmia",2,1,12,2,0,14,2,4.5,4.5,0,0,2,0,3,NA,0,5,5,0,0,0,0,"year_2023",149,34
"37","BP","F","trapnest_17","Mid","b",2023-06-23,174,40.29,134.99,"17_13b","5 cells + end cap","sealed","parasitized","osmia",3,1,7,1,2,10,3,6,5,2.5,2.5,0,4,0,4,0,5,6,0,2,2,0,"year_2023",135,40
"38","BP","F","trapnest_17","Mid","a",2023-05-26,146,74.49,146.51,"17_15a","8 cells","not sealed","not parasitized","osmia",2,1,11,1,0,12,1,6,0,0,0,1,0,1,NA,0,0,6,0,0,0,0,"year_2023",147,74
"39","BP","F","trapnest_17","Mid","a",2023-06-05,156,22.77,144.92,"17_16a","3 cells","not sealed","not parasitized","osmia",1,1,10,2,0,12,2,6.5,5.5,0,0,4,0,4,NA,1,5,6,0,0,0,0,"year_2023",145,23
"40","BP","F","trapnest_17","Mid","a",2023-05-29,149,55.95,153.18,"17_17a","4 cells","not sealed","parasitized","osmia",1,1,9,2,0,11,2,7.5,1.5,0,0,3,0,3,NA,0,1,7,0,0,0,0,"year_2023",153,56
"41","BP","F","trapnest_17","Mid","b",2023-06-05,156,24.4,139.02,"17_17b","3 cells + end cap","sealed","parasitized","osmia",1,1,10,2,0,12,2,6.5,5.5,0,0,4,0,4,NA,1,5,6,0,0,0,0,"year_2023",139,24
"42","BP","F","trapnest_17","Mid","a",2023-05-29,149,21.07,139.95,"17_18a","inner wall","not sealed","not parasitized","osmia",1,1,9,2,0,11,2,7.5,1.5,0,0,3,0,3,NA,0,1,7,0,0,0,0,"year_2023",140,21
"43","BP","F","trapnest_17","Mid","a",2023-06-02,153,2.9,145.32,"17_7a","inner wall","not sealed","not parasitized","osmia",2,1,9,3,0,12,3,7,4,0,0,3,0,3,NA,0,4.5,7.5,0,0,0,1,"year_2023",145,3
"44","BP","F","trapnest_17","Mid","a",2023-06-02,153,78.68,149.03,"17_9a","inner wall","not sealed","not parasitized","osmia",2,1,9,3,0,12,3,7,4,0,0,3,0,3,NA,0,4.5,7.5,0,0,0,0,"year_2023",149,79
"45","BP","F","trapnest_18","High","b",2023-06-05,156,17.79,144.44,"18_10b","2 cell + end cap","sealed","not parasitized","osmia",1,1,4,1,0,5,1,13,5,0,0,0,0,1,NA,0,5,13,0,0,0,0,"year_2023",144,18
"46","BP","F","trapnest_18","High","b",2023-05-31,151,95.42,145.84,"18_12b","7 cells","not sealed","not parasitized","osmia",2,1,3,1,0,4,1,14,4,0,0,3,0,3,NA,0,4,14,0,0,0,0,"year_2023",146,95
"47","BP","F","trapnest_18","High","a",2023-05-29,149,27.2,142.7,"18_1a","3 cells + end cap","sealed","not parasitized","osmia",1,1,3,4,0,7,4,12.5,1.5,0,0,2,0,2,NA,0,2,13,0,0,0,0,"year_2023",143,27
