"","Site","Subsite","Trapnest","Treatment","Straw_ID","Date","Day_of_year","Filled_length_mm","Straw_length_mm","Nest_ID","Status","Sealed","Nest_parasitized","Occupant","Good_days","Bee_choice","Available_post","New_nests_os","New_nests_meg","Available_cavities_prior","New_nests_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_active_mothers","Meg_active_mothers","Sum_unsealed_os","Sum_unsealed_meg","DP_os_prior","NDP_os_prior","NDP_ps_os_prior","DP_meg_prior","NDP_meg_prior","NDP_ps_meg_prior","Abandoned_inner_wall","Year","Straw_length","Filled_length"
"110","BP","B","trapnest_6","High","b",2023-05-31,151,39,145,"6_9b","5 cells + end cap","sealed",NA,"osmia",2,1,4,3,0,7,3,12,2,0,0,3,0,3,NA,0,1.5,10.5,0,0,0,0,"year_2023",145,39
"111","BP","AB","trapnest_77","Mid","a",2024-06-05,157,91,133,"77_4a","5 cells","not sealed","not parasitized","osmia",2,1,11,1,0,12,1,0,0,6,0,1,0,1,NA,0,0,0,0,0,6,0,"year_2024",133,91
"112","BP","C","trapnest_7","Low","a",2023-05-29,149,8.67,142.14,"7_12a","1 cell","not sealed","not parasitized","osmia",1,1,12,5,1,18,6,2,2,0,0,3,1,3,1,0,2.5,2.5,0,0,0,0,"year_2023",142,9
"113","BP","C","trapnest_7","Low","a",2023-05-29,149,138.07,138.07,"7_14a","2 cells","not sealed","not parasitized","osmia",1,1,12,5,1,18,6,2,2,0,0,3,1,3,1,0,2.5,2.5,0,0,0,0,"year_2023",138,138
"114","BP","C","trapnest_7","Low","a",2023-05-29,149,83.82,146.73,"7_15a","4 cells","not sealed","not parasitized","osmia",1,1,12,5,1,18,6,2,2,0,0,3,1,3,1,0,2.5,2.5,0,0,0,0,"year_2023",147,84
"115","BP","C","trapnest_7","Low","a",2023-05-29,149,37.42,148.86,"7_17a","5 cells + end cap","sealed","parasitized","osmia",1,1,12,5,1,18,6,2,2,0,0,3,1,3,1,0,2.5,2.5,0,0,0,0,"year_2023",149,37
"116","BP","C","trapnest_7","Low","a",2023-05-22,142,24.54,151.22,"7_3a","1 cell","not sealed","not parasitized","osmia",1,1,17,1,0,18,1,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,"year_2023",151,25
"117","BP","C","trapnest_7","Low","b",2023-05-31,151,66.62,139.07,"7_3b","3 cells","not sealed","not parasitized","osmia",2,1,13,1,0,14,1,3,3,1,1,4,1,4,1,0,3,3,0,0,0,0,"year_2023",139,67
"118","BP","C","trapnest_7","Low","c",2023-06-14,165,2.55,138.37,"7_3c","inner wall + end cap","sealed","not parasitized","osmia",0,1,12,1,1,14,2,1,1,3,3,0,3,1,4,0,0,0,0,2,2,1,"year_2023",138,3
"119","BP","C","trapnest_8","Mid","a",2023-05-23,143,59.29,147.64,"8_12a","inner wall","not sealed","not parasitized","osmia",1,1,11,1,0,12,1,6,1,0,0,2,0,2,NA,1,0,5,0,0,0,0,"year_2023",148,59
"120","BP","C","trapnest_8","Mid","a",2023-05-26,146,73.97,142.42,"8_16a","4 cells","not sealed","parasitized","osmia",2,1,10,1,0,11,1,7,2,0,0,3,0,3,NA,2,0,5,0,0,0,0,"year_2023",142,74
"121","BP","C","trapnest_8","Mid","a",2023-05-29,149,17.28,145.88,"8_2a","2 cells","not sealed","not parasitized","osmia",1,1,9,1,0,10,1,8,3,0,0,3,0,3,NA,2,1,6,0,0,0,0,"year_2023",146,17
"122","BP","C","trapnest_8","Mid","a",2023-05-22,142,59.6,147.13,"8_3a","3 cells","not sealed","parasitized","osmia",1,1,11,1,0,12,1,6,0,0,0,1,0,1,NA,0,0,6,0,0,0,0,"year_2023",147,60
"123","CP","AG","trapnest_91","Low","a",2024-06-21,173,39,144,"91_8a","4 cells","not sealed","not parasitized","osmia",4,1,16,1,1,18,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,"year_2024",144,39
"124","CP","AI","trapnest_99","High","a",2024-06-21,173,9,131,"99_14a","1 cell","not sealed","not parasitized","osmia",4,1,5,2,0,7,2,0.5,0.5,11,0,2,0,2,NA,0,1,1,0,0,11,0,"year_2024",131,9
"125","CP","AI","trapnest_99","High","a",2024-06-21,173,50,140,"99_4a","1 cell","not sealed","not parasitized","osmia",4,1,5,2,0,7,2,0.5,0.5,11,0,2,0,2,NA,0,1,1,0,0,11,0,"year_2024",140,50
"126","BP","C","trapnest_9","High","a",2023-06-05,156,70.8,146.38,"9_5a","8 cells","not sealed","not parasitized","osmia",1,1,5,1,1,7,2,11,2,0,0,1,0,1,0,0,2,11,0,0,0,0,"year_2023",146,71
"127","BP","C","trapnest_9","High","a",2023-05-22,142,82.48,150.77,"9_8a","2 cells","not sealed","parasitized","osmia",1,1,6,1,0,7,1,11,0,0,0,1,0,1,NA,0,0,11,0,0,0,0,"year_2023",151,82
"128","BP","C","trapnest_9","High","b",2023-05-29,149,104.11,150.1,"9_9b","inner wall","not sealed","not parasitized","osmia",1,1,6,1,0,7,1,11,1,0,0,1,0,1,NA,0,1,11,0,0,0,0,"year_2023",150,104
