"","Date","Nest_ID","Trapnest","Site","Subsite","Treatment","Cavity_number","Straw_ID","Cavity_ID","Cell_ID","Cell_number","Filled_length_mm","Straw_length_mm","Status","Contains_cells","Occupant","Good_days","Bee_choice","Available_cavities_prior","New_nests_os","New_nests_meg","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_ps_no_iw","Osmia_no_ps_no_iw","Meg_ps_no_iw","Meg_no_ps_no_iw","New_nests_sum","Cumulative_par","Number_of_cells","Prop_cells_par","Cell_parasitized","Sealed","Nest_parasitized","Active_bin","Sum_unsealed_os_no_iw","Last_cell","Total_cells_per_date","Sum_cell_parasitized","Sum_cell_not_parasitized","Day_of_year"
"22",2023-05-23,"7_3a","trapnest_7","BP","C","Low",3,"a","7_3","7_3a_2","2","24.54","151.22","1 cell",1,"osmia",1,NA,18,1,0,0,0,0,0,1,1,0,0,1,0,2,0,0,"not sealed","not parasitized",1,1,1,1,0,1,143
"23",2023-05-23,"8_3a","trapnest_8","BP","C","Mid",3,"a","8_3","8_3a_4","4","59.6","147.13","3 cells",1,"osmia",1,NA,13,2,0,5.5,0.5,0,0,NA,1,0,0,2,4,6,0.666666666666667,1,"not sealed","parasitized",1,1,0,3,1,2,143
"24",2023-05-23,"9_8a","trapnest_9","BP","C","High",8,"a","9_8","9_8a_3","3","82.48","150.77","2 cells",1,"osmia",1,NA,8,1,0,10,0,0,0,NA,1,0,0,1,1,4,0.25,0,"not sealed","parasitized",1,1,0,2,0,2,143
"25",2023-05-26,"12_5a","trapnest_12","BP","D","High",5,"a","12_5","12_5a_10","10","115.52","142.83","4 cells",1,"osmia",2,NA,7,0,0,11,1,0,0,NA,1,0,0,0,0,9,0,0,"not sealed","not parasitized",1,1,0,4,0,4,146
"26",2023-05-26,"13_2a","trapnest_13","BP","E","Low",2,"a","13_2","13_2a_3","3","105.25","123.3","5 cells",1,"osmia",2,NA,17,0,0,1,1,0,0,1,1,0,0,0,0,7,0,0,"not sealed","not parasitized",1,1,0,5,0,5,146
"27",2023-05-26,"16_5b","trapnest_16","BP","F","Low",5,"b","16_5","16_5b_3","3","77","133","4 cells",1,"osmia",2,NA,16,1,0,2,2,0,0,2,2,0,0,1,0,6,0,0,"not sealed","not parasitized",1,2,0,4,0,4,146
"28",2023-05-26,"17_15a","trapnest_17","BP","F","Mid",15,"a","17_15","17_15a_1","1","74.49","146.51","8 cells",1,"osmia",2,1,12,1,0,6,0,0,0,NA,1,0,0,1,0,8,0,0,"not sealed","not parasitized",1,1,0,8,0,8,146
"29",2023-05-26,"2_18a","trapnest_2","BP","A","Mid",18,"a","2_18","2_18a_10","10","106.85","142.77","2 cells + end cap",1,"osmia",2,NA,12,0,0,6,1,0,0,NA,1,0,0,0,0,9,0,0,"sealed","not parasitized",0,0,0,2,0,2,146
"30",2023-05-26,"3_14a","trapnest_3","BP","A","High",14,"a","3_14","3_14a_1","1","8.71","142.78","2 cells",1,"osmia",2,1,7,1,0,11,1,0,0,NA,2,0,0,1,1,2,0.5,1,"not sealed","parasitized",1,2,0,2,1,1,146
"31",2023-05-26,"8_12a","trapnest_8","BP","C","Mid",12,"a","8_12","8_12a_1","1","59.29","147.64","6 cells",1,"osmia",2,NA,11,1,0,7,2,0,0,NA,3,0,0,1,1,6,0.166666666666667,0,"not sealed","parasitized",1,3,0,6,1,5,146
"32",2023-05-26,"9_8a","trapnest_9","BP","C","High",8,"a","9_8","9_8a_5","5","82.48","150.77","4 cells",1,"osmia",2,NA,7,0,0,11,1,0,0,NA,1,0,0,0,1,8,0.125,0,"not sealed","parasitized",1,1,0,4,0,4,146
"33",2023-05-29,"12_15a","trapnest_12","BP","D","High",15,"a","12_15","12_15a_1","1","116.97","145.25","7 cells",1,"osmia",1,1,7,2,0,11.5,1.5,0,0,NA,3,0,0,2,1,7,0.142857142857143,0,"not sealed","parasitized",1,2,0,7,1,6,149
"34",2023-05-29,"13_12a","trapnest_13","BP","E","Low",12,"a","13_12","13_12a_1","1","101","137","2 cells",1,"osmia",1,1,17,3,0,2,2,0,0,4,4,0,0,3,0,2,0,0,"not sealed","not parasitized",1,3,0,2,0,2,149
"35",2023-05-29,"14_12a","trapnest_14","BP","E","Mid",12,"a","14_12","14_12a_1","1","76.22","145.71","7 cells",1,"osmia",1,1,13,1,0,5,0,0,0,NA,1,0,0,1,2,7,0.285714285714286,0,"not sealed","parasitized",1,1,0,7,2,5,149
"36",2023-05-29,"16_14a","trapnest_16","BP","F","Low",14,"a","16_14","16_14a_1","1","11.4","142.13","2 cells",1,"osmia",1,1,16,4,0,3.5,3.5,0,0,4,4,0,0,4,0,2,0,0,"not sealed","not parasitized",1,1,0,2,0,2,149
"37",2023-05-29,"17_17a","trapnest_17","BP","F","Mid",17,"a","17_17","17_17a_1","1","55.95","153.18","4 cells",1,"osmia",1,1,11,2,0,7.5,1.5,0,0,NA,2,0,0,2,1,4,0.25,0,"not sealed","parasitized",1,2,0,4,1,3,149
"38",2023-05-29,"18_13a","trapnest_18","BP","F","High",13,"a","18_13","18_13a_1","1","unknown","unknown","2 cells + end cap",1,"osmia",1,1,7,4,0,12.5,1.5,0,0,NA,4,0,0,4,1,2,0.5,1,"sealed","parasitized",0,2,0,2,1,1,149
"39",2023-05-29,"19_8a","trapnest_19","NN","G","Low",8,"a","19_8","19_8a_1","1","30.46","139.14","3 cells + end cap",1,"osmia",1,1,17,1,0,1,1,0,0,2,2,0,0,1,3,3,1,1,"sealed","parasitized",0,0,0,3,3,0,149
"40",2023-05-29,"2_16b","trapnest_2","BP","A","Mid",16,"b","2_16","2_16b_1","1","42.06","140.65","4 cells + end cap",1,"osmia",1,1,12,2,0,6.5,1.5,0,0,NA,3,0,0,2,2,4,0.5,0,"sealed","parasitized",0,0,0,4,2,2,149
"41",2023-05-29,"20_2a","trapnest_20","NN","G","Mid",2,"a","20_2","20_2a_1","1","96.03","149.23","9 cells",1,"osmia",1,1,12,2,0,6.5,0.5,0,0,NA,2,0,0,2,3,9,0.333333333333333,0,"not sealed","parasitized",1,2,0,9,3,6,149
"42",2023-05-29,"25_13a","trapnest_25","NN","I","Low",13,"a","25_13","25_13a_1","1","108.83","148.8","3 cells",1,"osmia",1,1,17,3,0,2,2,0,0,3,3,0,0,3,0,3,0,0,"not sealed","not parasitized",1,3,0,3,0,3,149
"43",2023-05-29,"28_17a","trapnest_28","NN","J","Low",17,"a","28_17","28_17a_1","1","18.3","146.85","3 cells + end cap",1,"osmia",1,1,18,1,0,0,0,0,0,1,1,0,0,1,1,3,0.333333333333333,0,"sealed","parasitized",0,0,0,3,1,2,149
"44",2023-05-29,"3_18a","trapnest_3","BP","A","High",18,"a","3_18","3_18a_5","5","61.17","144.35","4 cells + end cap",1,"osmia",1,NA,7,1,0,11,2,0,0,NA,3,0,0,1,0,8,0,0,"sealed","not parasitized",0,1,0,4,0,4,149
"45",2023-05-29,"36_1a","trapnest_36","NN","L","High",1,"a","36_1","36_1a_1","1","86.14","144.22","1 cell",1,"osmia",1,1,7,2,0,11.5,0.5,0,0,NA,2,0,0,2,0,1,0,0,"not sealed","not parasitized",1,2,0,1,0,1,149
"46",2023-05-29,"7_12a","trapnest_7","BP","C","Low",12,"a","7_12","7_12a_1","1","8.67","142.14","1 cell",1,"osmia",1,1,18,5,1,2,2,0,0,5,5,1,1,6,0,1,0,0,"not sealed","not parasitized",1,3,1,1,0,1,149
"47",2023-05-29,"8_12a","trapnest_8","BP","C","Mid",12,"a","8_12","8_12a_7","7","59.29","147.64","3 cells",1,"osmia",1,NA,10,1,0,8,3,0,0,NA,4,0,0,1,1,9,0.111111111111111,0,"not sealed","parasitized",1,3,0,3,0,3,149
"48",2023-05-29,"9_8a","trapnest_9","BP","C","High",8,"a","9_8","9_8a_9","9","82.48","150.77","1 cell + end cap",1,"osmia",1,NA,7,1,0,11,1,0,0,NA,1,0,0,1,2,9,0.222222222222222,1,"sealed","parasitized",0,0,1,1,1,0,149
"49",2023-05-31,"12_15a","trapnest_12","BP","D","High",15,"a","12_15","12_15a_8","8","116.97","145.25","4 cells",1,"osmia",2,NA,9,2,0,9.5,1.5,0,0,NA,3,0,0,2,1,9,0.111111111111111,0,"not sealed","parasitized",1,2,0,4,0,4,151
