Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Nest_ID,Cell_number,Cell_position,Date,Cell_occupant,Species_or_subtype,Collection,Sex,Comments
BP,B,4,Low,small,8,a,4_8a,2,NA,2023-06-23,pollen mass,NA,not collected,NA,
BP,B,4,Low,small,8,a,4_8a,3,NA,2023-06-23,pollen mass,NA,not collected,NA,
BP,B,4,Low,small,8,a,4_8a,4,NA,2023-06-23,pollen mass,NA,not collected,NA,
BP,B,4,Low,small,8,a,4_8a,5,NA,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,4,Low,small,8,a,4_8a,6,NA,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,4,Low,small,8,a,4_8a,7,NA,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,4,Low,small,8,a,4_8a,8,NA,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,5,Mid,medium,11,a,5_11a,1,NA,2023-06-20,mold,NA,not collected,NA,
BP,B,5,Mid,medium,11,a,5_11a,2,NA,2023-06-20,mold,NA,not collected,NA,
BP,B,5,Mid,medium,11,a,5_11a,3,NA,2023-06-20,mold,NA,not collected,NA,
BP,B,5,Mid,medium,11,a,5_11a,4,NA,2023-06-20,mold,NA,not collected,NA,
BP,B,5,Mid,medium,11,a,5_11a,5,NA,2023-06-20,mold,NA,not collected,NA,
BP,B,5,Mid,medium,16,a,5_16a,NA,not last cell,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,5,Mid,medium,16,a,5_16a,NA,not last cell,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,5,Mid,medium,16,a,5_16a,NA,last cell,2023-06-29,empty,NA,not collected,NA,
BP,B,5,Mid,medium,16,a,5_16a,NA,not last cell,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,5,Mid,medium,16,a,5_16a,NA,not last cell,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,5,Mid,medium,16,a,5_16a,NA,not last cell,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,5,Mid,medium,16,a,5_16a,NA,not last cell,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,5,Mid,medium,16,a,5_16a,NA,not last cell,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,5,Mid,medium,16,a,5_16a,NA,not last cell,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,5,Mid,medium,16,a,5_16a,NA,not last cell,2023-06-29,pollen mass,NA,not collected,NA,
BP,B,5,Mid,small,18,a,5_18a,1,NA,2023-06-02,parasite,sapyga,in collection,NA,
BP,B,5,Mid,small,18,a,5_18a,2,NA,2023-06-02,osmia,pumila,in collection - this cell,female,
BP,B,5,Mid,small,18,a,5_18a,3,NA,2023-06-02,osmia,pumila,in collection - this cell,NA,
BP,B,6,High,small,5,b,6_5b,1,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,B,6,High,small,5,b,6_5b,2,NA,2023-06-16,unknown larva,NA,not collected,NA,
BP,B,6,High,small,10,a,6_10a,1,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,B,6,High,small,10,a,6_10a,2,NA,2023-05-31,mold,NA,not collected,NA,
BP,B,6,High,small,10,a,6_10a,3,NA,2023-05-31,mold,NA,not collected,NA,
BP,B,6,High,small,10,a,6_10a,4,NA,2023-05-31,mold,NA,not collected,NA,
BP,B,6,High,small,10,a,6_10a,5,NA,2023-05-31,mold,NA,not collected,NA,
BP,B,6,High,small,13,b,6_13b,1,NA,2023-06-23,hoplitis,NA,in collection or released (one chewed out),female,
BP,B,6,High,small,13,b,6_13b,2,NA,2023-06-23,pollen mass,NA,not collected,NA,
BP,B,6,High,small,13,b,6_13b,3,NA,2023-06-29,unknown larva,NA,not collected,NA,
BP,B,6,High,small,13,b,6_13b,4,NA,2023-06-29,hoplitis,NA,in collection or released (one chewed out),NA,
BP,B,6,High,small,13,b,6_13b,5,NA,2023-06-29,hoplitis,NA,in collection,male,"was unknown, now hoplitis"
BP,B,6,High,small,13,b,6_13b,6,NA,2023-06-29,empty,NA,not collected,NA,
BP,B,6,High,small,14,a,6_14a,1,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,B,6,High,small,14,a,6_14a,2,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,B,6,High,small,14,a,6_14a,3,NA,2023-06-08,pollen mass,NA,not collected,NA,
BP,B,6,High,small,15,a,6_15a,1,NA,2023-05-31,osmia,pumila,not collected,NA,unknown dates for collected specimens
BP,B,6,High,small,15,a,6_15a,2,NA,2023-06-02,osmia,pumila,in collection - all these cells,female,
BP,B,6,High,small,15,a,6_15a,3,NA,2023-06-02,osmia,pumila,in collection,male,
BP,B,6,High,small,15,a,6_15a,4,NA,2023-06-02,parasite,sapyga,not collected,NA,
BP,B,6,High,small,15,a,6_15a,5,NA,2023-06-02,osmia,pumila,not collected,NA,
BP,B,6,High,small,15,a,6_15a,6,NA,2023-06-02,osmia,pumila,not collected,NA,
BP,B,6,High,small,15,a,6_15a,7,NA,2023-06-02,parasite,sapyga,in collection,NA,
BP,B,6,High,small,15,a,6_15a,8,NA,2023-06-05,parasite,sapyga,in collection,NA,
BP,B,6,High,small,15,a,6_15a,9,NA,2023-06-05,osmia,pumila,in collection,male,mold present
BP,B,6,High,small,15,a,6_15a,10,NA,2023-06-05,parasite,sapyga,in collection,NA,
BP,B,6,High,small,15,a,6_15a,11,NA,2023-06-05,parasite,sapyga,not collected,NA,
BP,B,6,High,small,15,a,6_15a,12,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,osmia,pumila,in collection,male,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,osmia,pumila,in collection,male,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,parasite,sapyga,in collection,NA,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,osmia,pumila,not collected,NA,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,osmia,pumila,in collection,male,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,osmia,pumila,not collected,NA,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,osmia,pumila,not collected,NA,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,empty,NA,not collected,NA,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,empty,NA,not collected,NA,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,empty,NA,not collected,NA,
BP,B,6,High,small,17,a,6_17a,NA,unknown,2023-05-23,empty,NA,not collected,NA,
BP,C,7,Low,small,2,a,7_2a,1,NA,2023-05-29,osmia,pumila,in collection - this cell,female,
BP,C,7,Low,small,2,a,7_2a,2,NA,2023-05-29,osmia,pumila,in collection - this cell,female,
BP,C,7,Low,small,2,a,7_2a,3,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,2,a,7_2a,4,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,C,7,Low,small,3,a,7_3a,1,NA,2023-05-22,unknown larva,NA,not collected,NA,
BP,C,7,Low,small,3,a,7_3a,2,NA,2023-05-23,unknown larva,NA,not collected,NA,
