Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Nest_ID,Cell_number,Cell_position,Date,Cell_occupant,Species_or_subtype,Collection,Sex,Comments
BP,C,9,High,large,6,a,9_6a,NA,unknown,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,large,6,a,9_6a,NA,unknown,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,large,6,a,9_6a,NA,unknown,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,large,6,a,9_6a,NA,unknown,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,medium,7,a,9_7a,1,NA,2023-06-08,mold,NA,not collected,NA,
BP,C,9,High,medium,7,a,9_7a,2,NA,2023-06-08,mold,NA,not collected,NA,
BP,C,9,High,medium,7,a,9_7a,3,NA,2023-06-14,mold,NA,not collected,NA,
BP,C,9,High,medium,7,a,9_7a,4,NA,2023-06-14,mold,NA,not collected,NA,
BP,C,9,High,medium,7,b,9_7b,1,NA,2023-06-20,mold,NA,not collected,NA,not opened yet
BP,C,9,High,medium,7,b,9_7b,2,NA,2023-06-20,mold,NA,not collected,NA,
BP,C,9,High,medium,7,b,9_7b,3,NA,2023-06-20,mold,NA,not collected,NA,
BP,C,9,High,medium,7,b,9_7b,4,NA,2023-06-20,mold,NA,not collected,NA,
BP,C,9,High,medium,7,b,9_7b,5,NA,2023-06-23,empty,NA,not collected,NA,
BP,C,9,High,medium,7,b,9_7b,6,NA,2023-06-23,empty,NA,not collected,NA,
BP,C,9,High,medium,7,b,9_7b,7,NA,2023-06-23,empty,NA,not collected,NA,
BP,C,9,High,small,8,a,9_8a,NA,not last cell,2023-05-22,parasite,sapyga,in collection - this cell,NA,just end cap
BP,C,9,High,small,8,a,9_8a,NA,not last cell,2023-05-22,osmia,tersula,in collection,female,
BP,C,9,High,small,8,a,9_8a,NA,not last cell,2023-05-23,osmia,tersula,in collection,female,
BP,C,9,High,small,8,a,9_8a,NA,not last cell,2023-05-23,osmia,tersula,not collected,NA,
BP,C,9,High,small,8,a,9_8a,NA,not last cell,2023-05-26,osmia,tersula,not collected,NA,
BP,C,9,High,small,8,a,9_8a,NA,not last cell,2023-05-26,osmia,tersula,in collection,female,
BP,C,9,High,small,8,a,9_8a,NA,not last cell,2023-05-26,mold,NA,not collected,NA,
BP,C,9,High,small,8,a,9_8a,NA,not last cell,2023-05-26,osmia,tersula,in collection,male,
BP,C,9,High,small,8,a,9_8a,NA,last cell,2023-05-29,parasite,sapyga,in collection - this cell,NA,
BP,C,9,High,small,9,b,9_9b,1,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,2,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,3,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,4,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,5,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,6,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,7,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,8,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,9,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,10,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,11,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,12,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,13,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,14,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,small,9,b,9_9b,15,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,large,14,b,9_14b,1,NA,2023-06-08,pollen mass,NA,not collected,NA,
BP,C,9,High,large,14,b,9_14b,2,NA,2023-06-14,pollen mass,NA,not collected,NA,not opened yet
BP,C,9,High,large,14,b,9_14b,3,NA,2023-06-14,pollen mass,NA,not collected,NA,
BP,C,9,High,large,14,b,9_14b,4,NA,2023-06-14,pollen mass,NA,not collected,NA,
BP,C,9,High,large,14,b,9_14b,5,NA,2023-06-14,pollen mass,NA,not collected,NA,
BP,D,12,High,small,5,a,12_5a,1,NA,2023-05-15,osmia,tersula,in collection - this cell,female,
BP,D,12,High,small,5,a,12_5a,2,NA,2023-05-15,unknown larva,NA,not collected,NA,
BP,D,12,High,small,5,a,12_5a,3,NA,2023-05-17,unknown larva,NA,not collected,NA,
BP,D,12,High,small,5,a,12_5a,4,NA,2023-05-19,unknown larva,NA,not collected,NA,
BP,D,12,High,small,5,a,12_5a,5,NA,2023-05-22,unknown larva,NA,not collected,NA,
BP,D,12,High,small,5,a,12_5a,6,NA,2023-05-22,unknown larva,NA,not collected,NA,
BP,D,12,High,small,5,a,12_5a,7,NA,2023-05-22,unknown larva,NA,not collected,NA,
BP,D,12,High,small,5,a,12_5a,8,NA,2023-05-23,unknown larva,NA,not collected,NA,
BP,D,12,High,small,5,a,12_5a,9,NA,2023-05-23,unknown larva,NA,not collected,NA,
BP,D,12,High,small,5,a,12_5a,10,NA,2023-05-26,pollen mass,NA,not collected,NA,
BP,D,12,High,small,5,a,12_5a,11,NA,2023-05-26,osmia,tersula,in collection,female,
BP,D,12,High,small,5,a,12_5a,12,NA,2023-05-26,osmia,tersula,in collection,female,
BP,D,12,High,small,5,a,12_5a,13,NA,2023-05-26,osmia,tersula,in collection,male,
BP,D,12,High,small,5,a,12_5a,14,NA,2023-05-29,osmia,tersula,in collection - this cell,male,
BP,D,12,High,small,6,b,12_6b,1,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,2,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,3,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,4,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,5,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,6,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,7,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,8,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,9,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,10,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,11,NA,2023-05-31,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,12,NA,2023-05-31,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,13,NA,2023-05-31,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,14,NA,2023-05-31,mold,NA,not collected,NA,
BP,D,12,High,small,6,b,12_6b,15,NA,2023-05-31,mold,NA,not collected,NA,
BP,D,12,High,small,6,c,12_6c,1,NA,2023-06-20,parasite,sapyga,not collected,NA,
BP,D,12,High,small,6,c,12_6c,2,NA,2023-06-23,parasite,sapyga,in collection - this cell,NA,
BP,D,12,High,small,6,c,12_6c,3,NA,2023-06-23,parasite,sapyga,in collection - this cell,NA,
BP,D,12,High,small,6,c,12_6c,4,NA,2023-06-23,parasite,sapyga,not collected,NA,
BP,D,12,High,small,6,c,12_6c,5,NA,2023-06-23,parasite,sapyga,in collection - this cell,NA,
BP,D,12,High,small,6,c,12_6c,6,NA,2023-06-23,osmia,pumila,in collection - this cell,male,
BP,D,12,High,small,6,c,12_6c,7,NA,2023-06-23,osmia,pumila,in collection - this cell,male,
BP,D,12,High,small,9,b,12_9b,1,NA,2023-06-14,osmia,pumila,in collection - this cell,male,
BP,D,12,High,small,9,b,12_9b,2,NA,2023-06-14,parasite,sapyga,in collection - this cell,NA,
BP,D,12,High,small,9,b,12_9b,3,NA,2023-06-16,osmia,pumila,in collection - this cell,male,
BP,D,12,High,small,11,b,12_11b,1,NA,2023-06-08,unknown larva,NA,not collected,NA,
BP,D,12,High,small,11,b,12_11b,2,NA,2023-06-14,unknown larva,NA,not collected,NA,
BP,D,12,High,small,11,b,12_11b,3,NA,2023-06-14,unknown larva,NA,not collected,NA,
BP,D,12,High,small,11,b,12_11b,4,NA,2023-06-14,unknown larva,NA,not collected,NA,
BP,D,12,High,small,11,b,12_11b,5,NA,2023-06-16,unknown larva,NA,not collected,NA,
BP,D,12,High,small,11,b,12_11b,6,NA,2023-06-20,mold,NA,not collected,NA,
BP,D,12,High,small,11,b,12_11b,7,NA,2023-06-20,mold,NA,not collected,NA,
BP,D,12,High,small,12,b,12_12b,1,NA,2023-06-02,parasite,sapyga,in collection,NA,
BP,D,12,High,small,12,b,12_12b,2,NA,2023-06-02,parasite,sapyga,in collection,NA,
BP,D,12,High,small,12,b,12_12b,3,NA,2023-06-05,osmia,pumila,in collection,female,
BP,D,12,High,small,12,b,12_12b,4,NA,2023-06-05,parasite,sapyga,in collection,NA,
BP,D,12,High,small,12,b,12_12b,5,NA,2023-06-05,parasite,sapyga,in collection,NA,
BP,D,12,High,small,12,b,12_12b,6,NA,2023-06-05,parasite,sapyga,in collection,NA,
BP,D,12,High,small,15,a,12_15a,1,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,15,a,12_15a,2,NA,2023-05-29,parasite,sapyga,in collection - this cell,NA,
BP,D,12,High,small,15,a,12_15a,3,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,15,a,12_15a,4,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,15,a,12_15a,5,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,D,12,High,small,15,a,12_15a,6,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,15,a,12_15a,7,NA,2023-05-29,mold,NA,not collected,NA,
BP,D,12,High,small,15,a,12_15a,8,NA,2023-05-31,mold,NA,not collected,NA,
BP,D,12,High,small,15,a,12_15a,9,NA,2023-05-31,mold,NA,not collected,NA,
BP,D,12,High,small,15,a,12_15a,10,NA,2023-05-31,osmia,tersula,in collection - this cell,female,
BP,D,12,High,small,15,a,12_15a,11,NA,2023-05-31,osmia,tersula,in collection - this cell,male,
BP,D,12,High,small,15,a,12_15a,12,NA,2023-06-05,osmia,tersula,not collected,NA,
BP,D,12,High,small,15,a,12_15a,13,NA,2023-06-05,parasite,sapyga,not collected,NA,
BP,D,12,High,small,16,a,12_16a,1,NA,2023-06-29,empty,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,1,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,2,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,3,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,4,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,5,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,6,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,7,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,8,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,9,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,10,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,11,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,12,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,D,12,High,small,18,a,12_18a,13,NA,2023-06-14,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,1,NA,2023-05-23,osmia,NA,not collected,NA,"all underdevelopped, not collected"
BP,E,13,Low,small,2,a,13_2a,2,NA,2023-05-23,osmia,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,3,NA,2023-05-26,osmia,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,4,NA,2023-05-26,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,5,NA,2023-05-26,osmia,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,6,NA,2023-05-26,osmia,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,7,NA,2023-05-26,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,8,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,9,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,10,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,11,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,2,a,13_2a,12,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,2,b,13_2b,1,NA,2023-05-31,mold,NA,not collected,NA,
BP,E,13,Low,small,2,b,13_2b,2,NA,2023-05-31,osmia,tersula,in collection - this cell,female,
BP,E,13,Low,small,2,b,13_2b,3,NA,2023-05-31,mold,NA,not collected,NA,
BP,E,13,Low,small,2,b,13_2b,4,NA,2023-06-02,osmia,tersula,not collected,NA,
BP,E,13,Low,small,4,a,13_4a,1,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,4,a,13_4a,2,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,4,a,13_4a,3,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,4,a,13_4a,4,NA,2023-05-29,empty,NA,not collected,NA,
BP,E,13,Low,small,4,a,13_4a,5,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,4,a,13_4a,6,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,4,a,13_4a,7,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,4,a,13_4a,8,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,4,b,13_4b,1,NA,2023-06-02,parasite,sapyga,in collection,NA,
BP,E,13,Low,small,4,b,13_4b,2,NA,2023-06-02,osmia,tersula,in collection,female,
BP,E,13,Low,small,4,b,13_4b,3,NA,2023-06-02,osmia,tersula,in collection,female,
BP,E,13,Low,small,4,b,13_4b,4,NA,2023-06-02,osmia,tersula,in collection,male,
BP,E,13,Low,small,5,a,13_5a,1,NA,2023-06-16,parasite,sapyga,in collection,NA,
BP,E,13,Low,medium,6,a,13_6a,NA,unknown,2023-06-23,megachile,NA,not collected,NA,
BP,E,13,Low,medium,6,a,13_6a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,6,a,13_6a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,6,a,13_6a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,6,a,13_6a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,6,a,13_6a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,6,a,13_6a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,6,a,13_6a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,1,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,2,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,3,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,4,NA,2023-05-29,osmia,NA,not collected,NA,"underdevelopped and moldy, didnt keep "
BP,E,13,Low,small,7,a,13_7a,5,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,6,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,7,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,8,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,9,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,10,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,11,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,12,NA,2023-05-31,osmia,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,13,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,14,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,15,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,16,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,17,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,18,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,7,a,13_7a,19,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,7,b,13_7b,1,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,b,13_7b,2,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,b,13_7b,3,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,E,13,Low,small,7,b,13_7b,4,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,8,a,13_8a,1,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,8,a,13_8a,2,NA,2023-06-02,osmia,pumila,in collection,female,
BP,E,13,Low,small,8,a,13_8a,3,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,8,a,13_8a,4,NA,2023-06-05,parasite,sapyga,not collected,NA,
BP,E,13,Low,medium,9,a,13_9a,NA,unknown,2023-06-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,9,a,13_9a,NA,unknown,2023-06-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,9,a,13_9a,NA,unknown,2023-06-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,9,a,13_9a,NA,unknown,2023-06-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,11,a,13_11a,1,NA,2023-06-05,osmia,pumila,in collection - this cell,female,
BP,E,13,Low,small,11,a,13_11a,2,NA,2023-06-05,parasite,sapyga,not collected,NA,
BP,E,13,Low,small,11,a,13_11a,3,NA,2023-06-05,parasite,sapyga,in collection - this cell,NA,
BP,E,13,Low,small,11,a,13_11a,4,NA,2023-06-09,parasite,sapyga,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,1,NA,2023-05-29,osmia,NA,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,2,NA,2023-05-29,osmia,NA,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,3,NA,2023-05-31,parasite,sapyga,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,4,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,5,NA,2023-05-31,osmia,NA,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,6,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,7,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,8,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,9,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,10,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,11,NA,2023-06-02,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,12,a,13_12a,12,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,13,a,13_13a,NA,last cell,2023-06-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,13,a,13_13a,NA,unknown,2023-06-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,13,a,13_13a,NA,unknown,2023-06-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,13,a,13_13a,NA,unknown,2023-06-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,13,a,13_13a,NA,unknown,2023-06-29,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,13,a,13_13a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,13,a,13_13a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,13,a,13_13a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,13,a,13_13a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,medium,13,a,13_13a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,13,Low,small,14,a,13_14a,1,NA,2023-06-14,parasite,sapyga,in collection - this cell,NA,
BP,E,13,Low,small,14,a,13_14a,2,NA,2023-06-14,parasite,sapyga,not collected,NA,
BP,E,13,Low,,15,a,13_15a,1,NA,NA,parasite,sapyga,not collected,NA,"does not exist in datasheet, so not from this trapnest "
BP,E,13,Low,small,16,a,13_16a,1,NA,2023-06-14,osmia,tersula,in collection - this cell,male,
BP,E,13,Low,small,16,a,13_16a,2,NA,2023-06-14,osmia,tersula,not collected,NA,
BP,E,13,Low,small,18,a,13_18a,1,NA,2023-06-14,parasite,sapyga,not collected,NA,
BP,E,13,Low,small,18,a,13_18a,2,NA,2023-06-14,parasite,sapyga,in collection - this cell,NA,
BP,E,13,Low,small,18,a,13_18a,3,NA,2023-06-16,parasite,sapyga,not collected,NA,
BP,E,13,Low,small,18,a,13_18a,4,NA,2023-06-20,empty,NA,not collected,NA,
BP,E,14,Mid,small,10,a,14_10a,1,NA,2023-05-31,mold,NA,not collected,NA,
BP,E,14,Mid,small,10,a,14_10a,2,NA,2023-05-31,mold,NA,not collected,NA,
BP,E,14,Mid,small,10,a,14_10a,3,NA,2023-05-31,osmia,tersula,in collection - this cell,male,
BP,E,14,Mid,small,10,b,14_10b,1,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,10,b,14_10b,2,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,10,b,14_10b,3,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,E,14,Mid,small,10,b,14_10b,4,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,10,b,14_10b,5,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,10,b,14_10b,6,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,12,a,14_12a,1,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,E,14,Mid,small,12,a,14_12a,2,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,12,a,14_12a,3,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,12,a,14_12a,4,NA,2023-05-29,pollen mass,NA,not collected,NA,
BP,E,14,Mid,small,12,a,14_12a,5,NA,2023-05-29,parasite,sapyga,not collected,NA,
BP,E,14,Mid,small,12,a,14_12a,6,NA,2023-05-29,parasite,sapyga,not collected,NA,
BP,E,14,Mid,small,12,a,14_12a,7,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,12,a,14_12a,8,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,16,a,14_16a,1,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,E,14,Mid,small,16,a,14_16a,2,NA,2023-05-31,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,16,a,14_16a,3,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,16,a,14_16a,4,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,16,a,14_16a,5,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,16,a,14_16a,6,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,16,a,14_16a,7,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,16,a,14_16a,8,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,E,14,Mid,small,16,a,14_16a,9,NA,2023-06-02,unknown larva,NA,not collected,NA,
BP,E,15,High,small,4,a,15_4a,1,NA,2023-05-17,parasite,sapyga,in collection - this cell,NA,
BP,E,15,High,small,6,b,15_6b,1,NA,2023-05-22,pollen mass,NA,not collected,NA,
BP,E,15,High,medium,17,a,15_17a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,E,15,High,medium,17,a,15_17a,NA,unknown,2023-06-23,pollen mass,NA,not collected,NA,
BP,F,16,Low,small,1,a,16_1a,1,NA,2023-05-31,pollen mass,NA,not collected,NA,
BP,F,16,Low,small,3,b,16_3b,1,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,3,b,16_3b,2,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,3,b,16_3b,3,NA,2023-05-29,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,5,a,16_5a,1,NA,2023-05-12,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,5,a,16_5a,2,NA,2023-05-15,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,5,a,16_5a,3,NA,2023-05-15,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,5,a,16_5a,4,NA,2023-05-15,pollen mass,NA,not collected,NA,
BP,F,16,Low,small,5,a,16_5a,5,NA,2023-05-15,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,5,a,16_5a,6,NA,2023-05-15,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,5,a,16_5a,7,NA,2023-05-17,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,5,a,16_5a,8,NA,2023-05-19,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,5,a,16_5a,9,NA,2023-05-22,pollen mass,NA,not collected,NA,
BP,F,16,Low,small,5,a,16_5a,10,NA,2023-05-22,unknown larva,NA,not collected,NA,
BP,F,16,Low,small,5,b,16_5b,NA,unknown,2023-05-23,osmia,tersula,in collection - unsure which is which,female,
BP,F,16,Low,small,5,b,16_5b,NA,unknown,2023-05-23,osmia,tersula,in collection - unsure which is which,female,
BP,F,16,Low,small,5,b,16_5b,NA,unknown,2023-05-26,osmia,tersula,in collection - unsure which is which,male,
BP,F,16,Low,small,5,b,16_5b,NA,unknown,2023-05-26,osmia,tersula,in collection - unsure which is which,NA,
BP,F,16,Low,small,5,b,16_5b,NA,unknown,2023-05-26,osmia,tersula,in collection - unsure which is which,NA,
BP,F,16,Low,small,5,b,16_5b,NA,unknown,2023-05-26,osmia,tersula,not collected,NA,
BP,F,16,Low,small,5,b,16_5b,NA,unknown,2023-05-29,osmia,tersula,not collected,NA,
