"","Trapnest","Date","Nest_ID","Site","Subsite","Treatment","Cavity_number","Straw_ID","Filled_length_mm","Straw_length_mm","Cavity_ID","Status","Occupant","Good_days","Bee_choice","Available_prior","New_nests_os","New_nests_meg","New_nest_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Cumulative_par","Number_of_cells","Prop_cells_par","Par_in_trapnest","Prop_filled"
"16","trapnest_12",2023-06-08,"12_12b","BP","D","High",12,"b",57.04,106.02,"12_12","no change","osmia",2,NA,7,1,0,1,11,5,0,0,5,6,0.833333333333333,6,0.538011695906433
"17","trapnest_12",2023-06-10,"12_12b","BP","D","High",12,"b",57.04,106.02,"12_12","no change","osmia",0,NA,7,0,0,0,11,6,0,0,5,6,0.833333333333333,6,0.538011695906433
"18","trapnest_12",2023-06-12,"12_12b","BP","D","High",12,"b",57.04,106.02,"12_12","no change","osmia",1,NA,7,0,0,0,11,6,0,0,5,6,0.833333333333333,6,0.538011695906433
"19","trapnest_12",2023-06-14,"12_12b","BP","D","High",12,"b",57.04,106.02,"12_12","no change","osmia",0,NA,7,1,0,1,11,6,0,0,5,6,0.833333333333333,7,0.538011695906433
"20","trapnest_12",2023-06-16,"12_12b","BP","D","High",12,"b",57.04,106.02,"12_12","no change","osmia",1,NA,6,0,0,0,12,7,0,0,5,6,0.833333333333333,7,0.538011695906433
"21","trapnest_12",2023-06-20,"12_12b","BP","D","High",12,"b",57.04,106.02,"12_12","no change","osmia",3,NA,6.5,2,0,2,11.5,6.5,0,0,5,6,0.833333333333333,7,0.538011695906433
"22","trapnest_12",2023-06-23,"12_12b","BP","D","High",12,"b",57.04,106.02,"12_12","no change","osmia",3,NA,6,0,0,0,12,7,0,0,5,6,0.833333333333333,6,0.538011695906433
"23","trapnest_12",2023-06-29,"12_12b","BP","D","High",12,"b",57.04,106.02,"12_12","no change","osmia",1,NA,6,1,0,1,12,7,0,0,5,6,0.833333333333333,7,0.538011695906433
"24","trapnest_12",2023-05-29,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","7 cells","osmia",1,1,6.5,2,0,2,11.5,1.5,0,0,1,7,0.142857142857143,3,0.805301204819277
"25","trapnest_12",2023-05-31,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","4 cells","osmia",2,NA,8.5,2,0,2,9.5,1.5,0,0,1,9,0.111111111111111,3,0.805301204819277
"26","trapnest_12",2023-06-02,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","no change","osmia",2,NA,7.5,2,0,2,10.5,3.5,0,0,1,9,0.111111111111111,5,0.805301204819277
"27","trapnest_12",2023-06-05,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","2 cells + end cap","osmia",1,NA,7,0,0,0,11,5,0,0,2,13,0.153846153846154,5,0.805301204819277
"28","trapnest_12",2023-06-08,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","no change","osmia",2,NA,7,1,0,1,11,5,0,0,2,13,0.153846153846154,6,0.805301204819277
"29","trapnest_12",2023-06-10,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","no change","osmia",0,NA,7,0,0,0,11,6,0,0,2,13,0.153846153846154,6,0.805301204819277
"30","trapnest_12",2023-06-12,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","no change","osmia",1,NA,7,0,0,0,11,6,0,0,2,13,0.153846153846154,6,0.805301204819277
"31","trapnest_12",2023-06-14,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","no change","osmia",0,NA,7,1,0,1,11,6,0,0,2,13,0.153846153846154,7,0.805301204819277
"32","trapnest_12",2023-06-16,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","no change","osmia",1,NA,6,0,0,0,12,7,0,0,2,13,0.153846153846154,7,0.805301204819277
"33","trapnest_12",2023-06-20,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","no change","osmia",3,NA,6.5,2,0,2,11.5,6.5,0,0,2,13,0.153846153846154,7,0.805301204819277
"34","trapnest_12",2023-06-23,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","no change","osmia",3,NA,6,0,0,0,12,7,0,0,2,13,0.153846153846154,6,0.805301204819277
"35","trapnest_12",2023-06-29,"12_15a","BP","D","High",15,"a",116.97,145.25,"12_15","no change","osmia",1,NA,6,1,0,1,12,7,0,0,2,13,0.153846153846154,7,0.805301204819277
"36","trapnest_12",2023-06-29,"12_16a","BP","D","High",16,"a",5.27,143.33,"12_16","1 cell","osmia",1,1,6,1,0,1,12,7,0,0,0,1,0,7,0.0367682969371381
"37","trapnest_12",2023-06-02,"12_18a","BP","D","High",18,"a",83.98,144.81,"12_18","5 cells","osmia",2,1,7.5,2,0,2,10.5,3.5,0,0,0,5,0,5,0.579932325115669
"38","trapnest_12",2023-06-05,"12_18a","BP","D","High",18,"a",83.98,144.81,"12_18","7 cells","osmia",1,NA,7,0,0,0,11,5,0,0,0,9,0,5,0.579932325115669
"39","trapnest_12",2023-06-08,"12_18a","BP","D","High",18,"a",83.98,144.81,"12_18","no change","osmia",2,NA,7,1,0,1,11,5,0,0,0,9,0,6,0.579932325115669
"40","trapnest_12",2023-06-10,"12_18a","BP","D","High",18,"a",83.98,144.81,"12_18","no change","osmia",0,NA,7,0,0,0,11,6,0,0,0,9,0,6,0.579932325115669
"41","trapnest_12",2023-06-12,"12_18a","BP","D","High",18,"a",83.98,144.81,"12_18","no change","osmia",1,NA,7,0,0,0,11,6,0,0,0,9,0,6,0.579932325115669
"42","trapnest_12",2023-06-14,"12_18a","BP","D","High",18,"a",83.98,144.81,"12_18","1 cell + end cap","osmia",0,NA,7,1,0,1,11,6,0,0,0,13,0,7,0.579932325115669
"43","trapnest_12",2023-06-16,"12_18a","BP","D","High",18,"a",83.98,144.81,"12_18","no change","osmia",1,NA,6,0,0,0,12,7,0,0,0,13,0,7,0.579932325115669
"44","trapnest_12",2023-06-20,"12_18a","BP","D","High",18,"a",83.98,144.81,"12_18","no change","osmia",3,NA,6.5,2,0,2,11.5,6.5,0,0,0,13,0,7,0.579932325115669
"45","trapnest_12",2023-06-23,"12_18a","BP","D","High",18,"a",83.98,144.81,"12_18","no change","osmia",3,NA,6,0,0,0,12,7,0,0,0,13,0,6,0.579932325115669
"46","trapnest_12",2023-06-29,"12_18a","BP","D","High",18,"a",83.98,144.81,"12_18","no change","osmia",1,NA,6,1,0,1,12,7,0,0,0,13,0,7,0.579932325115669
"47","trapnest_12",2023-05-15,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","2 cells","osmia",3,1,7,1,0,1,11,0,0,0,0,2,0,1,0.808793670797451
"48","trapnest_12",2023-05-16,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",1,NA,6,0,0,0,12,1,0,0,0,2,0,1,0.808793670797451
