"Site","Subsite","Trapnest","Treatment","Nest_ID","Cell_ID","Cell_position","Cell_position_bi","Date","Cell_occupant","Species_or_subtype","Cell_parasitized","Nest_parasitized","Occupant","New_nests_os","Osmia_ps","Osmia_no_ps","Osmia_active_mothers","Day_of_year","Year"
"BP","E","trapnest_13","Low","13_18a","13_18a_1","not last cell",0,2023-06-14,"parasite","sapyga",1,"parasitized","osmia",3,4,4,3,165,"year_2023"
"BP","E","trapnest_13","Low","13_18a","13_18a_2","not last cell",0,2023-06-14,"parasite","sapyga",1,"parasitized","osmia",3,4,4,3,165,"year_2023"
"BP","E","trapnest_13","Low","13_18a","13_18a_3","not last cell",0,2023-06-16,"parasite","sapyga",1,"parasitized","osmia",1,2,2,2,167,"year_2023"
"BP","E","trapnest_13","Low","13_2a","13_2a_1","not last cell",0,2023-05-23,"osmia",NA,0,"not parasitized","osmia",1,1,1,1,143,"year_2023"
"BP","E","trapnest_13","Low","13_2a","13_2a_2","not last cell",0,2023-05-23,"osmia",NA,0,"not parasitized","osmia",1,1,1,1,143,"year_2023"
"BP","E","trapnest_13","Low","13_2a","13_2a_3","not last cell",0,2023-05-26,"osmia",NA,0,"not parasitized","osmia",0,1,1,1,146,"year_2023"
"BP","E","trapnest_13","Low","13_2a","13_2a_5","not last cell",0,2023-05-26,"osmia",NA,0,"not parasitized","osmia",0,1,1,1,146,"year_2023"
"BP","E","trapnest_13","Low","13_2a","13_2a_6","not last cell",0,2023-05-26,"osmia",NA,0,"not parasitized","osmia",0,1,1,1,146,"year_2023"
"BP","E","trapnest_13","Low","13_2b","13_2b_2","not last cell",0,2023-05-31,"osmia","tersula",0,"not parasitized","osmia",1,4,4,4,151,"year_2023"
"BP","E","trapnest_13","Low","13_2b","13_2b_4","last cell",1,2023-06-02,"osmia","tersula",0,"not parasitized","osmia",2,5,5,5,153,"year_2023"
"BP","E","trapnest_13","Low","13_4b","13_4b_1","not last cell",0,2023-06-02,"parasite","sapyga",1,"parasitized","osmia",2,5,5,5,153,"year_2023"
"BP","E","trapnest_13","Low","13_4b","13_4b_2","not last cell",0,2023-06-02,"osmia","tersula",0,"parasitized","osmia",2,5,5,5,153,"year_2023"
"BP","E","trapnest_13","Low","13_4b","13_4b_3","not last cell",0,2023-06-02,"osmia","tersula",0,"parasitized","osmia",2,5,5,5,153,"year_2023"
"BP","E","trapnest_13","Low","13_4b","13_4b_4","last cell",1,2023-06-02,"osmia","tersula",0,"parasitized","osmia",2,5,5,5,153,"year_2023"
"BP","E","trapnest_13","Low","13_5a","13_5a_1","last cell",1,2023-06-16,"parasite","sapyga",1,"parasitized","osmia",1,2,2,2,167,"year_2023"
"BP","E","trapnest_13","Low","13_7a","13_7a_4","not last cell",0,2023-05-29,"osmia",NA,0,"not parasitized","osmia",3,4,4,4,149,"year_2023"
"BP","E","trapnest_13","Low","13_7a","13_7a_12","not last cell",0,2023-05-31,"osmia",NA,0,"not parasitized","osmia",1,4,4,4,151,"year_2023"
"BP","E","trapnest_13","Low","13_8a","13_8a_2","not last cell",0,2023-06-02,"osmia","pumila",0,"not parasitized","osmia",2,5,5,5,153,"year_2023"
"BP","E","trapnest_13","Low","13_8a","13_8a_4","last cell",1,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,6,6,5,156,"year_2023"
"BP","E","trapnest_14","Mid","14_10a","14_10a_3","last cell",1,2023-05-31,"osmia","tersula",0,"not parasitized","osmia",3,9,4,4,151,"year_2023"
"BP","E","trapnest_14","Mid","14_12a","14_12a_5","not last cell",0,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",1,6,1,1,149,"year_2023"
"BP","E","trapnest_14","Mid","14_12a","14_12a_6","not last cell",0,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",1,6,1,1,149,"year_2023"
