"","Date","Site","Subsite","Trapnest","Treatment","Cavity_size","Filled_length_mm","Straw_length_mm","Nest_ID","Cavity_ID","Status","Occupant","Good_days","Bee_choice","Available_prior","New_nests_os","New_nests_meg","New_nest_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior"
"40",2023-06-02,"BP","E",14,"Mid","small",NA,NA,"14_12b","14_12","inner wall","osmia",2,1,12,1,NA,1,"6","3",NA,NA
"41",2023-06-05,"BP","E",14,"Mid","small","48.98","141.14","14_10b","14_10","6 cells + end cap","osmia",1,1,12,1,NA,1,"6","3",NA,NA
"42",2023-05-15,"BP","E",15,"High","small","10.75","143.02","15_4a","15_4","inner wall","osmia",3,1,7,1,NA,1,"11","0",NA,NA
"43",2023-05-17,"BP","E",15,"High","small",NA,NA,"15_6a","15_6","inner wall","osmia",1,1,6,1,NA,1,"12","1",NA,NA
"44",2023-05-22,"BP","E",15,"High","small","8.77","144.32","15_6b","15_6","1 cell + end cap","osmia",1,1,6.5,2,NA,2,"11.5","1.5",NA,NA
"45",2023-05-22,"BP","E",15,"High","small",NA,NA,"15_12a","15_12","inner wall","osmia",1,1,6.5,2,NA,2,"11.5","1.5",NA,NA
"46",2023-06-23,"BP","E",15,"High","medium","45.22","145.5","15_17a","15_17","4 cells","megachile",3,1,NA,NA,1,1,NA,NA,"0","0"
"47",2023-05-11,"BP","F",16,"Low","small",NA,NA,"16_3a","16_3","inner wall","osmia",3,1,18,1,NA,1,"0","0",NA,NA
"48",2023-05-12,"BP","F",16,"Low","small","86.8","140.489","16_5a","16_5","1 cell","osmia",1,1,17,1,NA,1,"1","1",NA,NA
"49",2023-05-15,"BP","F",16,"Low","small","86.8","140.489","16_5a","16_5","5 cells","osmia",3,NA,17.5,2,NA,2,"0.5","0.5",NA,NA
"50",2023-05-15,"BP","F",16,"Low","small","26.95","123.63","16_8a","16_8","1 cell","osmia",3,1,17.5,2,NA,2,"0.5","0.5",NA,NA
"51",2023-05-23,"BP","F",16,"Low","small","77","133","16_5b","16_5","2 cells","osmia",1,1,17,1,NA,1,"1","1",NA,NA
"52",2023-05-26,"BP","F",16,"Low","small","44.25","149.85","16_11a","16_11","inner wall","osmia",2,1,16,1,NA,1,"2","2",NA,NA
"53",2023-05-29,"BP","F",16,"Low","small","7.13","140.01","16_1a","16_1","inner wall","osmia",1,1,14.5,4,NA,4,"3.5","3.5",NA,NA
"54",2023-05-29,"BP","F",16,"Low","small","65.59","143.64","16_3b","16_3","3 cells + end cap","osmia",1,1,14.5,4,NA,4,"3.5","3.5",NA,NA
"55",2023-05-29,"BP","F",16,"Low","small","41.41","142.06","16_6a","16_6","5 cells + end cap","osmia",1,1,14.5,4,NA,4,"3.5","3.5",NA,NA
"56",2023-05-29,"BP","F",16,"Low","small","11.4","142.13","16_14a","16_14","2 cells","osmia",1,1,14.5,4,NA,4,"3.5","3.5",NA,NA
"57",2023-05-31,"BP","F",16,"Low","small","7.13","140.01","16_1a","16_1","1 cell","osmia",2,NA,14.5,4,NA,4,"3.5","3.5",NA,NA
"58",2023-05-31,"BP","F",16,"Low","small","58.2","150.21","16_6b","16_6","1 cell + end cap","osmia",2,1,14.5,4,NA,4,"3.5","3.5",NA,NA
"59",2023-05-31,"BP","F",16,"Low","small","33.96","149.35","16_8b","16_8","2 cells","osmia",2,1,14.5,4,NA,4,"3.5","3.5",NA,NA
"60",2023-05-31,"BP","F",16,"Low","small","11.4","142.13","16_14a","16_14","5 cells + end cap","osmia",2,NA,14.5,4,NA,4,"3.5","3.5",NA,NA
"61",2023-06-02,"BP","F",16,"Low","small","19.57","142.88","16_5c","16_5","3 cells + end cap","osmia",2,1,15,1,NA,1,"3","3",NA,NA
"62",2023-05-26,"BP","F",17,"Mid","medium","74.49","146.51","17_15a","17_15","8 cells","osmia",2,1,12,1,NA,1,"6","0",NA,NA
"63",2023-05-29,"BP","F",17,"Mid","small","55.95","153.18","17_17a","17_17","4 cells","osmia",1,1,10.5,2,NA,2,"7.5","1.5",NA,NA
"64",2023-05-29,"BP","F",17,"Mid","medium","21.07","139.95","17_18a","17_18","inner wall","osmia",1,1,10.5,2,NA,2,"7.5","1.5",NA,NA
"65",2023-06-02,"BP","F",17,"Mid","small","2.9","145.32","17_7a","17_7","inner wall","osmia",2,1,11,3,NA,3,"7","4",NA,NA
"66",2023-06-02,"BP","F",17,"Mid","small","78.68","149.03","17_9a","17_9","inner wall","osmia",2,1,11,3,NA,3,"7","4",NA,NA
"67",2023-06-02,"BP","F",17,"Mid","small",NA,NA,"17_14b","17_14","inner wall","osmia",2,1,11,3,NA,3,"7","4",NA,NA
"68",2023-06-05,"BP","F",17,"Mid","small","22.77","144.92","17_16a","17_16","3 cells","osmia",1,1,11.5,2,NA,2,"6.5","5.5",NA,NA
"69",2023-06-05,"BP","F",17,"Mid","small","24.4","139.02","17_17b","17_17","3 cells + end cap","osmia",1,1,11.5,2,NA,2,"6.5","5.5",NA,NA
"70",2023-06-14,"BP","F",17,"Mid","medium","101.33","143.69","17_1b","17_1","2 cells","megachile",0,1,NA,NA,1,1,NA,NA,"0","0"
"71",2023-06-20,"BP","F",17,"Mid","medium","101.72","146.29","17_11b","17_11","4 cells","megachile",3,1,NA,NA,1,1,NA,NA,"1","1"
"72",2023-06-23,"BP","F",17,"Mid","medium","25.45","139.37","17_3a","17_3","1 cell","megachile",3,1,9,1,2,3,"6","5","2.5","2.5"
"73",2023-06-23,"BP","F",17,"Mid","small","9.1","132.75","17_10b","17_10","1 cell","megachile",3,1,9,1,2,3,"6","5","2.5","2.5"
"74",2023-06-23,"BP","F",17,"Mid","small","40.29","134.99","17_13b","17_13","5 cells + end cap","osmia",3,1,9,1,2,3,"6","5","2.5","2.5"
"75",2023-05-29,"BP","F",18,"High","small","27.2","142.7","18_1a","18_1","3 cells + end cap","osmia",1,1,6,3,NA,3,"12","1",NA,NA
"76",2023-05-29,"BP","F",18,"High","small","27.76","146.22","18_5a","18_5","5 cells","osmia",1,1,6,3,NA,3,"12","1",NA,NA
"77",2023-05-29,"BP","F",18,"High","small","unkown","unkown","18_13a","18_13","2 cells + end cap","osmia",1,1,6,3,NA,3,"12","1",NA,NA
"78",2023-05-31,"BP","F",18,"High","small","78.55","148.55","18_8a","18_8","6 cells","osmia",2,1,4.5,2,NA,2,"13.5","3.5",NA,NA
"79",2023-05-31,"BP","F",18,"High","small","95.42","145.84","18_12b","18_12","7 cells","osmia",2,1,4.5,2,NA,2,"13.5","3.5",NA,NA
"80",2023-06-05,"BP","F",18,"High","small","17.79","144.44","18_10b","18_10","2 cell + end cap","osmia",1,1,5,1,NA,1,"13","5",NA,NA
"81",2023-05-11,"BP","A",2,"Mid","small",NA,NA,"2_12a","2_12","inner wall","osmia",3,1,11.5,2,NA,2,"6.5","0.5",NA,NA
"82",2023-05-11,"BP","A",2,"Mid","small","106.85","142.77","2_18a","2_18","inner wall","osmia",3,1,11.5,2,NA,2,"6.5","0.5",NA,NA
"83",2023-05-29,"BP","A",2,"Mid","small","21.51","147.24","2_1a","2_1","2 cells + end cap","osmia",1,1,11.5,2,NA,2,"6.5","1.5",NA,NA
"84",2023-05-29,"BP","A",2,"Mid","small","42.06","140.65","2_16b","2_16","4 cells + end cap","osmia",1,1,11.5,2,NA,2,"6.5","1.5",NA,NA
"85",2023-05-31,"BP","A",2,"Mid","small","7.14","146.52","2_7a","2_7","1 cell","osmia",2,1,11,3,NA,3,"7","4",NA,NA
"86",2023-05-31,"BP","A",2,"Mid","small","64.69","148.95","2_9a","2_9","6 cells","osmia",2,1,11,3,NA,3,"7","4",NA,NA
"87",2023-05-31,"BP","A",2,"Mid","small","29","137.3","2_15b","2_15","3 cells + end cap","osmia",2,1,11,3,NA,3,"7","4",NA,NA
"88",2023-06-02,"BP","A",2,"Mid","small",NA,NA,"2_3a","2_3","inner wall","osmia",2,1,10.5,2,NA,2,"7.5","4.5",NA,NA
"89",2023-06-02,"BP","A",2,"Mid","small",NA,NA,"2_14b","2_14","inner wall","osmia",2,1,10.5,2,NA,2,"7.5","4.5",NA,NA
"90",2023-06-14,"BP","A",2,"Mid","small","5.98","138.76","2_9b","2_9","1 cell","osmia",0,1,10,1,NA,1,"8","3",NA,NA
"91",2023-05-23,"BP","A",3,"High","small","61.17","144.35","3_18a","3_18","1 cell","osmia",1,1,7,1,NA,1,"11","0",NA,NA
"92",2023-05-26,"BP","A",3,"High","small","8.71","142.78","3_14a","3_14","2 cells","osmia",2,1,7,1,NA,1,"11","1",NA,NA
"93",2023-05-29,"BP","A",3,"High","small","35","140","3_13b","3_13","1 cell","osmia",1,1,7,1,NA,1,"11","2",NA,NA
"94",2023-05-31,"BP","A",3,"High","small","46.68","142.17","3_2a","3_2","2 cells","osmia",2,1,6,1,NA,1,"12","3",NA,NA
"95",2023-06-02,"BP","A",3,"High","small",NA,NA,"3_7a","3_7","inner wall","osmia",2,1,7,3,NA,3,"11","5",NA,NA
"96",2023-06-02,"BP","A",3,"High","small","18.88","141.84","3_11b","3_11","2 cells + end cap","osmia",2,1,7,3,NA,3,"11","5",NA,NA
"97",2023-06-02,"BP","A",3,"High","small","4.82","143.88","3_16b","3_16","1 cell","osmia",2,1,7,3,NA,3,"11","5",NA,NA
"98",2023-06-16,"BP","A",3,"High","small","72.46","139.75","3_9b","3_9","1 cell","osmia",1,1,7,1,NA,1,"11","6",NA,NA
"99",2023-06-23,"BP","B",4,"Low","small","139.8","139.8","4_8a","4_8","4 cells","osmia",3,1,15,1,NA,1,"0","0",NA,NA
"100",2023-05-29,"BP","B",5,"Mid","small","71","146","5_9a","5_9","1 cell","osmia",1,1,12,1,NA,1,"6","0",NA,NA
"101",2023-05-31,"BP","B",5,"Mid","small","71","146","5_9a","5_9","5 cells","osmia",2,NA,13,1,NA,1,"5","0",NA,NA
"102",2023-06-02,"BP","B",5,"Mid","small","24.8","143.69","5_18a","5_18","3 cells","osmia",2,1,12,1,NA,1,"6","1",NA,NA
"103",2023-06-20,"BP","B",5,"Mid","medium","85.18","144.23","5_11a","5_11","6 cells","megachile",3,1,NA,NA,1,1,NA,NA,"0","0"
"104",2023-06-23,"BP","B",5,"Mid","medium","17","144","5_12a","5_12","1 cell","megachile",3,1,NA,NA,1,1,NA,NA,"1","1"
"105",2023-06-29,"BP","B",5,"Mid","medium","103.9","142.31","5_16a","5_16","9 cells","megachile",1,1,NA,NA,1,1,NA,NA,"2","2"
"106",2023-05-29,"BP","B",6,"High","small","87","129","6_17a","6_17","inner wall","osmia",1,1,7,1,NA,1,"11","0",NA,NA
"107",2023-05-31,"BP","B",6,"High","small","39","145","6_9b","6_9","5 cells + end cap","osmia",2,1,6.5,4,NA,4,"11.5","1.5",NA,NA
"108",2023-05-31,"BP","B",6,"High","small","22.27","144.29","6_14a","6_14","1 cell","osmia",2,1,6.5,4,NA,4,"11.5","1.5",NA,NA
"109",2023-05-31,"BP","B",6,"High","small","81.61","138.87","6_15a","6_15","1 cell","osmia",2,1,6.5,4,NA,4,"11.5","1.5",NA,NA
"110",2023-05-31,"BP","B",6,"High","small","87","129","6_17a","6_17","5 cells","osmia",2,NA,6.5,4,NA,4,"11.5","1.5",NA,NA
"111",2023-06-05,"BP","B",6,"High","small","17.78","135.46","6_5b","6_5","1 cell","osmia",1,1,7,1,NA,1,"11","4",NA,NA
"112",2023-06-20,"BP","B",6,"High","small","69.56","144.68","6_13b","6_13","2 cells","osmia",3,1,7,1,NA,1,"11","5",NA,NA
"113",2023-05-22,"BP","C",7,"Low","small","24.54","151.22","7_3a","7_3","1 cell","osmia",1,1,18,1,NA,1,"0","0",NA,NA
"114",2023-05-23,"BP","C",7,"Low","small","24.54","151.22","7_3a","7_3","1 cell","osmia",1,NA,18,1,NA,1,"0","0",NA,NA
"115",2023-05-29,"BP","C",7,"Low","small","unkown","unkown","7_2a","7_2","4 cells + end cap","osmia",1,1,15.5,5,1,6,"2","2","0","0"
"116",2023-05-29,"BP","C",7,"Low","small","8.67","142.14","7_12a","7_12","1 cell","osmia",1,1,15.5,5,1,6,"2","2","0","0"
"117",2023-05-29,"BP","C",7,"Low","small","138.07","138.07","7_14a","7_14","2 cells","osmia",1,1,15.5,5,1,6,"2","2","0","0"
"118",2023-05-29,"BP","C",7,"Low","small","83.82","146.73","7_15a","7_15","4 cells","osmia",1,1,15.5,5,1,6,"2","2","0","0"
"119",2023-05-29,"BP","C",7,"Low","small","37.42","148.86","7_17a","7_17","5 cells + end cap","osmia",1,1,15.5,5,1,6,"2","2","0","0"
"120",2023-05-29,"BP","C",7,"Low","medium","98.57","138.73","7_18a","7_18","3 cells","megachile",1,1,15.5,5,1,6,"2","2","0","0"
"121",2023-05-31,"BP","C",7,"Low","small","66.62","139.07","7_3b","7_3","3 cells","osmia",2,1,15.5,3,1,4,"2","2","0","0"
"122",2023-05-31,"BP","C",7,"Low","small","138.07","138.07","7_14a","7_14","6 cells","osmia",2,NA,15.5,3,1,4,"2","2","0","0"
"123",2023-05-31,"BP","C",7,"Low","small","83.82","146.73","7_15a","7_15","5 cells","osmia",2,NA,15.5,3,1,4,"2","2","0","0"
"124",2023-05-31,"BP","C",7,"Low","medium","98.57","138.73","7_18a","7_18","3 cells","megachile",2,NA,15.5,3,1,4,"2","2","0","0"
"125",2023-06-02,"BP","C",7,"Low","medium","18.03","141.48","7_16a","7_16","4 cells","megachile",2,1,NA,NA,1,1,NA,NA,"1","1"
"126",2023-06-05,"BP","C",7,"Low","medium","125.2","148.6","7_4a","7_4","inner wall","megachile",1,1,13.5,NA,2,2,NA,NA,"1.5","1.5"
"127",2023-06-05,"BP","C",7,"Low","medium","102","144","7_18b","7_18","3 cells?","megachile",1,1,13.5,NA,2,2,NA,NA,"1.5","1.5"
"128",2023-06-08,"BP","C",7,"Low","small",NA,NA,"7_17b","7_17","1 cell","osmia",2,1,13,1,NA,1,"2","2",NA,NA
"129",2023-06-14,"BP","C",7,"Low","small","2.55","138.37","7_3c","7_3","inner wall + end cap","osmia",0,1,13.5,1,1,2,"1","1","3","3"
"130",2023-06-14,"BP","C",7,"Low","medium","14.12","147.29","7_8a","7_8","1 cell","megachile",0,1,13.5,1,1,2,"1","1","3","3"
"131",2023-06-23,"BP","C",7,"Low","small","16.75","147.02","7_9a","7_9","3 cells","osmia",3,1,14.5,1,1,2,"0","0","2","2"
"132",2023-06-23,"BP","C",7,"Low","small","116.74","142.66","7_17c","7_17","2 cells","megachile",3,1,14.5,1,1,2,"0","0","2","2"
"133",2023-06-29,"BP","C",7,"Low","medium","12","140","7_11b","7_11","1 cell","megachile",1,1,13,NA,5,5,NA,NA,"4","4"
"134",2023-06-29,"BP","C",7,"Low","small","19.6","143.37","7_14b","7_14","1 cell","megachile",1,1,13,NA,5,5,NA,NA,"4","4"
"135",2023-06-29,"BP","C",7,"Low","small","23.85","133.69","7_15b","7_15","1 cell","megachile",1,1,13,NA,5,5,NA,NA,"4","4"
"136",2023-06-29,"BP","C",7,"Low","medium","45.7","143","7_16b","7_16","3 cells","megachile",1,1,13,NA,5,5,NA,NA,"4","4"
"137",2023-06-29,"BP","C",7,"Low","medium","44","136","7_18c","7_18","5 cells","megachile",1,1,13,NA,5,5,NA,NA,"4","4"
"138",2023-05-22,"BP","C",8,"Mid","small","59.6","147.13","8_3a","8_3","3 cells","osmia",1,1,12,1,NA,1,"6","0",NA,NA
"139",2023-05-23,"BP","C",8,"Mid","small","59.6","147.13","8_3a","8_3","3 cells","osmia",1,NA,12.5,2,NA,2,"5.5","0.5",NA,NA
"140",2023-05-23,"BP","C",8,"Mid","small","59.29","147.64","8_12a","8_12","inner wall","osmia",1,1,12.5,2,NA,2,"5.5","0.5",NA,NA
"141",2023-05-26,"BP","C",8,"Mid","small","73.97","142.42","8_16a","8_16","4 cells","osmia",2,1,11,1,NA,1,"7","2",NA,NA
"142",2023-05-29,"BP","C",8,"Mid","small","17.28","145.88","8_2a","8_2","2 cells","osmia",1,1,10,1,NA,1,"8","3",NA,NA
"143",2023-06-29,"BP","C",8,"Mid","small","14.85","136.81","8_3b","8_3","1 cell","megachile",1,1,10.5,NA,2,2,NA,NA,"0.5","0.5"
"144",2023-06-29,"BP","C",8,"Mid","small","17.22","137.81","8_13c","8_13","1 cell","megachile",1,1,10.5,NA,2,2,NA,NA,"0.5","0.5"
"145",2023-05-22,"BP","C",9,"High","small","82.48","150.77","9_8a","9_8","2 cells","osmia",1,1,7,1,NA,1,"11","0",NA,NA
"146",2023-05-23,"BP","C",9,"High","small","82.48","150.77","9_8a","9_8","2 cells","osmia",1,NA,8,1,NA,1,"10","0",NA,NA
"147",2023-05-29,"BP","C",9,"High","small","104.11","150.1","9_9b","9_9","inner wall","osmia",1,1,7,1,NA,1,"11","1",NA,NA
"148",2023-05-31,"BP","C",9,"High","small","104.11","150.1","9_9b","9_9","5 cells","osmia",2,NA,8,1,NA,1,"10","1",NA,NA
"149",2023-06-05,"BP","C",9,"High","small","70.8","146.38","9_5a","9_5","8 cells","osmia",1,1,6.5,1,1,2,"11","2","0","0"
"150",2023-06-05,"BP","C",9,"High","large","92.04","119.65","9_6a","9_6","7 cells + end cap","megachile",1,1,6.5,1,1,2,"11","2","0","0"
"151",2023-06-08,"BP","C",9,"High","medium","61.5","147","9_7a","9_7","2 cells","megachile",2,1,6.5,NA,2,2,NA,NA,"1.5","1.5"
"152",2023-06-08,"BP","C",9,"High","large","64.75","141.25","9_14b","9_14","1 cell","megachile",2,1,6.5,NA,2,2,NA,NA,"1.5","1.5"
"153",2023-06-20,"BP","C",9,"High","medium","81","146","9_7b","9_7","4-5 cells","megachile",3,1,NA,NA,1,1,NA,NA,"1","1"
"154",2023-05-11,"BP","A",1,"Low","small",NA,NA,"1_4a","1_4","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"155",2023-05-11,"BP","A",1,"Low","large",NA,NA,"1_5a","1_5","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"156",2023-05-11,"BP","A",1,"Low","small",NA,NA,"1_6a","1_6","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"157",2023-05-11,"BP","A",1,"Low","small",NA,NA,"1_1a","1_1","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"158",2023-05-11,"BP","A",1,"Low","medium",NA,NA,"1_7a","1_7","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"159",2023-05-11,"BP","A",1,"Low","medium",NA,NA,"1_8a","1_8","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"160",2023-05-11,"BP","A",1,"Low","small",NA,NA,"1_9a","1_9","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"161",2023-05-11,"BP","A",1,"Low","medium",NA,NA,"1_10a","1_10","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"162",2023-05-11,"BP","A",1,"Low","small",NA,NA,"1_11a","1_11","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"163",2023-05-11,"BP","A",1,"Low","medium",NA,NA,"1_2a","1_2","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"164",2023-05-11,"BP","A",1,"Low","medium",NA,NA,"1_12a","1_12","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"165",2023-05-11,"BP","A",1,"Low","small","91","141","1_16a","1_16","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"166",2023-05-11,"BP","A",1,"Low","medium",NA,NA,"1_18a","1_18","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"167",2023-05-11,"BP","A",1,"Low","small",NA,NA,"1_13a","1_13","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"168",2023-05-11,"BP","A",1,"Low","small",NA,NA,"1_14a","1_14","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"169",2023-05-11,"BP","A",1,"Low","large",NA,NA,"1_15a","1_15","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"170",2023-05-11,"BP","A",1,"Low","small",NA,NA,"1_17a","1_17","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"171",2023-05-11,"BP","A",1,"Low","small",NA,NA,"1_3a","1_3","empty","none",3,0,NA,NA,NA,NA,NA,NA,NA,NA
"172",2023-05-12,"BP","A",1,"Low","small",NA,NA,"1_4a","1_4","empty","none",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"173",2023-05-12,"BP","A",1,"Low","large",NA,NA,"1_5a","1_5","empty","none",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"174",2023-05-12,"BP","A",1,"Low","small",NA,NA,"1_6a","1_6","empty","none",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"175",2023-05-12,"BP","A",1,"Low","medium",NA,NA,"1_7a","1_7","empty","none",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"176",2023-05-12,"BP","A",1,"Low","medium",NA,NA,"1_8a","1_8","empty","none",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"177",2023-05-12,"BP","A",1,"Low","small",NA,NA,"1_9a","1_9","empty","none",1,0,NA,NA,NA,NA,NA,NA,NA,NA
"178",2023-05-12,"BP","A",1,"Low","small",NA,NA,"1_1a","1_1","empty","none",1,0,NA,NA,NA,NA,NA,NA,NA,NA
