"","Site","Subsite","Trapnest","Treatment","Straw_ID","Date","Day_of_year","Filled_length_mm","Straw_length_mm","Nest_ID","Status","Sealed","Nest_parasitized","Occupant","Good_days","Bee_choice","Available_post","New_nests_os","New_nests_meg","Available_cavities_prior","New_nests_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Sum_unsealed_os","Sum_unsealed_meg","DP_os_prior","NDP_os_prior","NDP_ps_os_prior","DP_meg_prior","NDP_meg_prior","NDP_ps_meg_prior","Straw_length","Filled_length"
"28","CP","X","trapnest_71","Mid","a",2023-07-07,188,40.59,145.99,"71_14a","2 cells","not sealed",NA,"megachile",2,1,11,0,1,12,1,0,0,6,0,NA,1,0,0,0,0,0,6,146,41
"29","CP","X","trapnest_71","Mid","a",2023-07-24,205,38,145.29,"71_2a","1 cell","not sealed",NA,"megachile",2,1,11,0,1,12,1,0,0,6,1,NA,1,0,0,0,0,1,6,145,38
"30","BP","AA","trapnest_73","Low","a",2024-06-21,173,115,133,"73_9a","5 cells","not sealed","parasitized","megachile",4,1,17,0,1,18,1,0,0,0,0,NA,1,0,0,0,0,0,0,133,115
"31","BP","AA","trapnest_75","High","b",2024-06-25,177,56,134,"75_17b","1 cell","not sealed","not parasitized","megachile",1,1,6,0,1,7,1,0,0,11,1,NA,1,0,0,0,0,1,11,134,56
"32","BP","AA","trapnest_75","High","a",2024-06-21,173,114,132,"75_18a","9 cells","not sealed","parasitized","megachile",4,1,5,0,1,6,1,0,0,11,0,NA,1,0,0,0,0,0,11,132,114
"33","BP","AB","trapnest_77","Mid","b",2024-07-29,211,40,137,"77_11b","2 cells","not sealed","not parasitized","megachile",3,1,11,0,1,12,1,0,0,6,3,NA,1,0,0,0,0,3,6,137,40
"34","BP","AB","trapnest_77","Mid","c",2024-07-22,204,42,137,"77_12c","2 cells","not sealed","not parasitized","megachile",3,1,11,0,1,12,1,0,0,6,3,NA,2,0,0,0,0,3,6,137,42
"35","BP","AB","trapnest_77","Mid","a",2024-07-16,198,24,137,"77_13a","1 cell","not sealed","not parasitized","megachile",3,1,11,0,1,12,1,0,0,6,2,NA,2,0,0,0,0,2,6,137,24
"36","BP","AB","trapnest_77","Mid","a",2024-06-21,173,125,134,"77_2a","7 cells","not sealed","not parasitized","megachile",4,1,10,0,1,11,1,1,1,6,0,0,1,0,1,1,0,0,6,134,125
"37","BP","AB","trapnest_77","Mid","b",2024-08-02,215,22,145,"77_2b","1 cell + end cap","sealed","not parasitized","megachile",3,1,11,0,1,12,1,0,0,6,3,NA,0,0,0,0,0,3,6,145,22
"38","BP","AB","trapnest_77","Mid","b",2024-07-05,187,26,140,"77_4b","2 cells","not sealed","not parasitized","megachile",3,1,10,0,1,11,1,0,0,7,2,NA,1,0,0,0,0,1,6,140,26
"39","BP","AB","trapnest_77","Mid","c",2024-08-06,219,16,138,"77_4c","1 cell","not sealed","not parasitized","megachile",3,1,10,0,2,12,2,0,0,6.5,3.5,NA,2,0,0,0,0,4,7,138,16
"40","BP","AB","trapnest_78","High","a",2024-06-25,177,14,132,"78_17a","inner wall","not sealed","not parasitized","megachile",1,1,6,0,1,7,1,0,0,11,0,NA,1,0,0,0,0,0,11,132,14
"41","BP","AB","trapnest_78","High","b",2024-07-05,187,13,130,"78_8b","1 cell","not sealed","not parasitized","megachile",3,1,5,0,1,6,1,0,0,11,1,NA,2,0,0,0,0,1,11,130,13
"42","BP","C","trapnest_7","Low","a",2023-06-02,153,18.03,141.48,"7_16a","4 cells","not sealed",NA,"megachile",2,1,12,0,1,13,1,4,4,1,1,3,1,0,4,4,0,1,1,141,18
"43","BP","C","trapnest_7","Low","a",2023-05-29,149,98.57,138.73,"7_18a","3 cells","not sealed",NA,"megachile",1,1,12,5,1,18,6,2,2,0,0,3,1,0,2.5,2.5,0,0,0,139,99
"44","BP","C","trapnest_7","Low","b",2023-06-05,156,102,144,"7_18b","2 cells","not sealed","not parasitized","megachile",1,1,12,0,2,14,2,3,3,1.5,1.5,0,3,0,3,3,0,1,1,144,102
"45","BP","C","trapnest_7","Low","a",2023-06-05,156,125.2,148.6,"7_4a","inner wall","not sealed","not parasitized","megachile",1,1,12,0,2,14,2,3,3,1.5,1.5,0,3,0,3,3,0,1,1,149,125
