"","Trapnest","Date","Day_of_year","Site","Subsite","Treatment","Filled_length_mm","Straw_length_mm","Nest_ID","Status","Sealed","Nest_parasitized","Occupant","Good_days","Bee_choice","Available_cavities_prior","New_nests_os","New_nests_meg","New_nests_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_ps_no_iw","Osmia_no_ps_no_iw","Meg_ps_no_iw","Meg_no_ps_no_iw","DP_os_post","NDP_os_post","NDP_ps_os_post","DP_os_prior","NDP_os_prior","NDP_ps_os_prior"
"32","trapnest_1",2023-05-23,143,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","trapnest_1",2023-05-26,146,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","trapnest_1",2023-05-28,148,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","trapnest_1",2023-05-29,149,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"36","trapnest_1",2023-05-31,151,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"37","trapnest_1",2023-06-02,153,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"38","trapnest_1",2023-06-05,156,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"39","trapnest_1",2023-06-08,159,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"40","trapnest_1",2023-06-10,161,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",0,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"41","trapnest_1",2023-06-12,163,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",1,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"42","trapnest_1",2023-06-14,165,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",0,0,17,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1
"43","trapnest_1",2023-06-16,167,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","trapnest_1",2023-06-20,171,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","trapnest_1",2023-06-23,174,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","trapnest_1",2023-06-29,180,"BP","A","Low",NA,NA,"1_11a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","trapnest_1",2023-05-11,131,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","trapnest_1",2023-05-12,132,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","trapnest_1",2023-05-15,135,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","trapnest_1",2023-05-16,136,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","trapnest_1",2023-05-17,137,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","trapnest_1",2023-05-19,139,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","trapnest_1",2023-05-21,141,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","trapnest_1",2023-05-22,142,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","trapnest_1",2023-05-23,143,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","trapnest_1",2023-05-26,146,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","trapnest_1",2023-05-28,148,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","trapnest_1",2023-05-29,149,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"59","trapnest_1",2023-05-31,151,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"60","trapnest_1",2023-06-02,153,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"61","trapnest_1",2023-06-05,156,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"62","trapnest_1",2023-06-08,159,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"63","trapnest_1",2023-06-10,161,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",0,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"64","trapnest_1",2023-06-12,163,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"65","trapnest_1",2023-06-14,165,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",0,0,17,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1
"66","trapnest_1",2023-06-16,167,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","trapnest_1",2023-06-20,171,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","trapnest_1",2023-06-23,174,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","trapnest_1",2023-06-29,180,"BP","A","Low",NA,NA,"1_12a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","trapnest_1",2023-05-11,131,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","trapnest_1",2023-05-12,132,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","trapnest_1",2023-05-15,135,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","trapnest_1",2023-05-16,136,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","trapnest_1",2023-05-17,137,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","trapnest_1",2023-05-19,139,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","trapnest_1",2023-05-21,141,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","trapnest_1",2023-05-22,142,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","trapnest_1",2023-05-23,143,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","trapnest_1",2023-05-26,146,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","trapnest_1",2023-05-28,148,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","trapnest_1",2023-05-29,149,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"82","trapnest_1",2023-05-31,151,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"83","trapnest_1",2023-06-02,153,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"84","trapnest_1",2023-06-05,156,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"85","trapnest_1",2023-06-08,159,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"86","trapnest_1",2023-06-10,161,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",0,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"87","trapnest_1",2023-06-12,163,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,17,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"88","trapnest_1",2023-06-14,165,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",0,0,17,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1
"89","trapnest_1",2023-06-16,167,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","trapnest_1",2023-06-20,171,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","trapnest_1",2023-06-23,174,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","trapnest_1",2023-06-29,180,"BP","A","Low",NA,NA,"1_13a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","trapnest_1",2023-05-11,131,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","trapnest_1",2023-05-12,132,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","trapnest_1",2023-05-15,135,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","trapnest_1",2023-05-16,136,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97","trapnest_1",2023-05-17,137,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","trapnest_1",2023-05-19,139,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","trapnest_1",2023-05-21,141,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","trapnest_1",2023-05-22,142,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","trapnest_1",2023-05-23,143,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","trapnest_1",2023-05-26,146,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","trapnest_1",2023-05-28,148,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","trapnest_1",2023-05-29,149,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",1,0,18,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"105","trapnest_1",2023-05-31,151,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"106","trapnest_1",2023-06-02,153,"BP","A","Low",NA,NA,"1_14a","empty",NA,NA,"none",2,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
