Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Cell_number,Cell_occupant,Living,Date,Comments
BP,F,16,Low,small,1,a,1,pollen mass,NA,2023-05-31,
BP,F,16,Low,small,3,b,1,unknown larva,no,2023-05-29,
BP,F,16,Low,small,3,b,2,unknown larva,no,2023-05-29,
BP,F,16,Low,small,3,b,3,unknown larva,no,2023-05-29,
BP,F,16,Low,small,5,a,1,unknown larva,no,2023-05-12,
BP,F,16,Low,small,5,a,2,unknown larva,no,2023-05-15,
BP,F,16,Low,small,5,a,3,unknown larva,no,2023-05-15,
BP,F,16,Low,small,5,a,4,pollen mass,no,2023-05-15,
BP,F,16,Low,small,5,a,5,unknown larva,no,2023-05-15,
BP,F,16,Low,small,5,a,6,unknown larva,no,2023-05-15,
BP,F,16,Low,small,5,a,7,unknown larva,no,2023-05-17,
BP,F,16,Low,small,5,a,8,unknown larva,no,2023-05-19,
BP,F,16,Low,small,5,a,9,pollen mass,NA,2023-05-22,
BP,F,16,Low,small,5,a,10,unknown larva,no,2023-05-22,
BP,F,16,Low,small,5,b,1,osmia,unknown,2023-05-23,
BP,F,16,Low,small,5,b,2,osmia,no,2023-05-23,
BP,F,16,Low,small,5,b,3,osmia,yes,2023-05-26,
BP,F,16,Low,small,5,b,4,osmia,yes,2023-05-26,
BP,F,16,Low,small,5,b,5,osmia,no,2023-05-26,
BP,F,16,Low,small,5,b,6,osmia,yes,2023-05-26,
BP,F,16,Low,small,5,b,7,osmia,no,2023-05-29,
BP,F,16,Low,small,5,b,8,pollen mass,NA,2023-05-29,
BP,F,16,Low,small,5,c,1,sapyga,yes,2023-06-02,
BP,F,16,Low,small,5,c,2,osmia,yes,2023-06-02,
BP,F,16,Low,small,5,c,3,empty,NA,2023-06-02,
BP,F,16,Low,small,6,a,1,unknown larva,no,2023-05-29,
BP,F,16,Low,small,6,a,2,osmia,no,2023-05-29,
BP,F,16,Low,small,6,a,3,osmia,no,2023-05-29,
BP,F,16,Low,small,6,b,1,osmia,yes,2023-05-31,
BP,F,16,Low,small,8,a,1,sapyga,yes,2023-05-15,
BP,F,16,Low,small,8,a,2,sapyga,yes,2023-05-17,
BP,F,16,Low,small,8,b,1,pollen mass,NA,2023-05-31,
BP,F,16,Low,small,8,b,2,unknown larva,no,2023-05-31,
BP,F,16,Low,small,8,b,3,pollen mass,NA,2023-06-02,
BP,F,16,Low,small,11,a,1,sapyga,yes,2023-06-02,
BP,F,16,Low,small,11,a,2,sapyga,yes,2023-06-02,
BP,F,16,Low,small,11,a,3,sapyga,yes,2023-06-02,
BP,F,16,Low,small,11,a,4,sapyga,yes,2023-06-02,
BP,F,16,Low,small,11,a,5,sapyga,yes,2023-06-02,
BP,F,16,Low,small,11,a,6,osmia,yes,2023-06-02,
BP,F,16,Low,small,14,a,1,unknown larva,no,2023-05-29,
BP,F,16,Low,small,14,a,2,osmia,unknown,2023-05-29,
BP,F,16,Low,small,14,a,3,unknown larva,no,2023-05-31,
BP,F,16,Low,small,14,a,4,unknown larva,no,2023-05-31,
BP,F,16,Low,small,14,a,5,unknown larva,no,2023-05-31,
BP,F,16,Low,small,14,a,6,unknown larva,no,2023-05-31,
BP,F,16,Low,small,14,a,7,unknown larva,no,2023-05-31,
BP,F,17,Mid,small,7,a,1,empty,NA,2023-06-14,
BP,F,17,Mid,small,9,a,1,sapyga,yes,2023-06-05,
BP,F,17,Mid,small,9,a,2,sapyga,yes,2023-06-05,
BP,F,17,Mid,small,9,a,3,sapyga,yes,2023-06-05,
BP,F,17,Mid,small,9,a,4,sapyga,yes,2023-06-05,
BP,F,17,Mid,small,9,a,5,osmia,yes,2023-06-05,
BP,F,17,Mid,small,9,a,6,osmia,yes,2023-06-05,
BP,F,17,Mid,small,9,a,7,osmia,yes,2023-06-05,
BP,F,17,Mid,small,9,a,8,sapyga,yes,2023-06-05,
BP,F,17,Mid,small,9,a,9,osmia,yes,2023-06-05,
BP,F,17,Mid,small,9,a,10,sapyga,yes,2023-06-05,
BP,F,17,Mid,small,9,a,11,osmia,yes,2023-06-09,
BP,F,17,Mid,small,9,a,12,sapyga,yes,2023-06-14,
BP,F,17,Mid,small,13,b,1,sapyga,yes,2023-06-23,
BP,F,17,Mid,small,13,b,2,pollen mass,NA,2023-06-23,
BP,F,17,Mid,small,13,b,3,osmia,yes,2023-06-23,
BP,F,17,Mid,small,13,b,4,osmia,yes,2023-06-23,
BP,F,17,Mid,small,13,b,5,osmia,yes,2023-06-23,
BP,F,17,Mid,medium,15,a,1,unknown larva,unknown,2023-05-26,
BP,F,17,Mid,medium,15,a,2,unknown larva,unknown,2023-05-26,
BP,F,17,Mid,medium,15,a,3,unknown larva,unknown,2023-05-26,
BP,F,17,Mid,medium,15,a,4,unknown larva,unknown,2023-05-26,
BP,F,17,Mid,medium,15,a,5,unknown larva,unknown,2023-05-26,
BP,F,17,Mid,medium,15,a,6,unknown larva,unknown,2023-05-26,
BP,F,17,Mid,medium,15,a,7,unknown larva,unknown,2023-05-26,
BP,F,17,Mid,medium,15,a,8,unknown larva,unknown,2023-05-26,
BP,F,17,Mid,medium,15,a,9,unknown larva,unknown,2023-05-31,
BP,F,17,Mid,medium,15,a,10,unknown larva,unknown,2023-05-31,
BP,F,17,Mid,medium,15,a,11,unknown larva,unknown,2023-05-31,
BP,F,17,Mid,medium,15,a,12,unknown larva,unknown,2023-05-31,
BP,F,17,Mid,medium,15,a,13,unknown larva,unknown,2023-05-31,
BP,F,17,Mid,small,16,a,1,pollen mass,NA,2023-06-05,
BP,F,17,Mid,small,16,a,2,unknown larva,no,2023-06-05,
BP,F,17,Mid,small,16,a,3,unknown larva,no,2023-06-05,
BP,F,17,Mid,small,17,a,1,osmia,unknown,2023-05-29,
BP,F,17,Mid,small,17,a,2,osmia,yes,2023-05-29,
BP,F,17,Mid,small,17,a,3,sapyga,yes,2023-05-29,
BP,F,17,Mid,small,17,a,4,osmia,unknown,2023-05-29,
BP,F,17,Mid,small,17,a,5,sapyga,yes,2023-06-02,
BP,F,17,Mid,small,17,b,1,osmia,unknown,2023-06-05,
BP,F,17,Mid,small,17,b,2,sapyga,yes,2023-06-05,
BP,F,17,Mid,small,17,b,3,sapyga,yes,2023-06-05,
BP,F,17,Mid,medium,18,a,1,unknown larva,no,2023-06-02,
BP,F,17,Mid,medium,18,a,2,unknown larva,no,2023-06-02,
BP,F,17,Mid,medium,18,a,3,unknown larva,no,2023-06-02,
BP,F,17,Mid,medium,18,a,4,unknown larva,no,2023-06-02,
BP,F,18,High,small,1,a,1,unknown larva,no,2023-05-29,
BP,F,18,High,small,1,a,2,unknown larva,no,2023-05-29,
BP,F,18,High,small,1,a,3,unknown larva,no,2023-05-29,
BP,F,18,High,small,5,a,1,unknown larva,no,2023-05-29,
BP,F,18,High,small,5,a,2,unknown larva,no,2023-05-29,
BP,F,18,High,small,5,a,3,pollen mass,NA,2023-05-29,
BP,F,18,High,small,5,a,4,unknown larva,no,2023-05-29,
BP,F,18,High,small,5,a,5,unknown larva,no,2023-05-29,
BP,F,18,High,small,8,a,1,unknown larva,no,2023-05-29,
BP,F,18,High,small,8,a,2,unknown larva,no,2023-05-29,
BP,F,18,High,small,8,a,3,unknown larva,no,2023-05-31,
BP,F,18,High,small,8,a,4,unknown larva,no,2023-05-31,
BP,F,18,High,small,8,a,5,unknown larva,no,2023-05-31,
BP,F,18,High,small,8,a,6,unknown larva,no,2023-05-31,
BP,F,18,High,small,8,a,7,unknown larva,no,2023-05-31,
BP,F,18,High,small,8,a,8,unknown larva,no,2023-05-31,
BP,F,18,High,small,8,a,9,unknown larva,no,2023-06-02,
BP,F,18,High,small,8,a,10,unknown larva,no,2023-06-02,
BP,F,18,High,small,8,b,1,osmia,yes,2023-06-04,
BP,F,18,High,small,8,b,2,pollen mass,NA,2023-06-04,
BP,F,18,High,small,10,b,1,unknown larva,no,2023-06-05,
BP,F,18,High,small,10,b,2,unknown larva,no,2023-06-05,
BP,F,18,High,small,12,b,1,unknown larva,unknown,2023-05-31,
BP,F,18,High,small,12,b,2,unknown larva,unknown,2023-05-31,
BP,F,18,High,small,12,b,3,unknown larva,unknown,2023-05-31,
BP,F,18,High,small,12,b,4,unknown larva,unknown,2023-05-31,
BP,F,18,High,small,12,b,5,unknown larva,unknown,2023-05-31,
BP,F,18,High,small,12,b,6,unknown larva,unknown,2023-05-31,
BP,F,18,High,small,12,b,7,unknown larva,unknown,2023-05-31,
BP,F,18,High,small,12,b,8,unknown larva,unknown,2023-06-02,
BP,F,18,High,small,12,b,9,unknown larva,unknown,2023-06-02,
BP,F,18,High,small,12,b,10,unknown larva,unknown,2023-06-02,
BP,F,18,High,small,12,b,11,unknown larva,unknown,2023-06-02,
BP,F,18,High,small,12,b,12,unknown larva,unknown,2023-06-02,
BP,F,18,High,small,13,a,1,sapyga,no,2023-05-29,
BP,F,18,High,small,13,a,2,osmia,yes,2023-05-29,
NN,G,19,Low,small,8,a,1,sapyga,yes ,2023-05-29,
NN,G,19,Low,small,8,a,2,sapyga,yes ,2023-05-29,
NN,G,19,Low,small,8,a,3,sapyga,yes,2023-05-29,
NN,G,19,Low,small,8,b,1,osmia,yes,2023-06-04,
NN,G,20,Mid,small,2,a,1,osmia,yes ,2023-05-29,
NN,G,20,Mid,small,2,a,2,sapyga,unknown,2023-05-29,
NN,G,20,Mid,small,2,a,3,sapyga,yes ,2023-05-29,
NN,G,20,Mid,small,2,a,4,osmia,yes ,2023-05-29,
NN,G,20,Mid,small,2,a,5,osmia,yes ,2023-05-29,
NN,G,20,Mid,small,2,a,6,sapyga,yes ,2023-05-29,
NN,G,20,Mid,small,2,a,7,osmia,yes ,2023-05-29,
NN,G,20,Mid,small,2,a,8,osmia,yes ,2023-05-29,
NN,G,20,Mid,small,2,a,9,osmia,yes ,2023-05-29,
NN,G,20,Mid,small,2,a,10,osmia,yes ,2023-05-31,
NN,G,20,Mid,small,2,a,11,osmia,yes ,2023-05-31,
NN,G,20,Mid,small,2,a,12,sapyga,yes ,2023-05-31,
NN,G,20,Mid,small,2,a,13,osmia,yes,2023-05-31,
NN,G,20,Mid,small,2,a,14,osmia,yes,2023-05-31,
NN,G,20,Mid,small,3,b,1,osmia,yes ,2023-06-01,
NN,G,20,Mid,small,3,b,2,osmia,no ,2023-06-01,
NN,G,20,Mid,small,3,b,3,mold,NA,2023-06-01,
NN,G,20,Mid,small,3,b,4,mold,NA,2023-06-01,
NN,G,20,Mid,small,3,b,5,mold,NA,2023-06-01,
NN,G,20,Mid,small,5,a,1,unknown larva,no,2023-05-29,
NN,G,20,Mid,small,5,a,2,unknown larva,no,2023-05-29,
NN,G,20,Mid,small,5,a,3,pollen mass,NA,2023-05-29,
NN,G,20,Mid,small,5,a,4,unknown larva,no,2023-05-29,
NN,G,20,Mid,small,5,a,5,unknown larva,no ,2023-05-29,
NN,G,20,Mid,small,5,a,6,unknown larva,no,2023-05-29,
NN,G,20,Mid,small,5,a,7,pollen mass,NA,2023-05-29,
NN,G,20,Mid,small,5,a,8,unknown larva,no,2023-05-29,
NN,G,20,Mid,small,5,a,9,unknown larva,no,2023-05-31,
NN,G,20,Mid,small,5,a,10,unknown larva,no,2023-05-31,
NN,G,20,Mid,small,5,a,11,pollen mass,NA,2023-05-31,
NN,G,20,Mid,small,15,a,1,empty,NA,2023-06-01,
NN,H,22,Low,small,9,a,1,sapyga,yes ,2023-06-19,
NN,H,24,High,small,2,a,1,osmia,yes ,2023-06-04,
NN,H,24,High,small,2,a,2,pollen mass,NA,2023-06-04,
NN,H,24,High,small,2,a,3,osmia,yes ,2023-06-04,
NN,H,24,High,small,2,a,4,osmia,yes ,2023-06-04,
NN,H,24,High,small,2,a,5,sapyga,yes ,2023-06-04,
NN,H,24,High,small,2,a,6,sapyga,yes ,2023-06-08,
NN,H,24,High,small,3,b,1,sapyga,yes,2023-06-19,
NN,H,24,High,small,3,b,2,sapyga,yes ,2023-06-22,
NN,H,24,High,small,3,b,3,sapyga,yes ,2023-06-22,
NN,H,24,High,small,7,b,1,osmia,no,2023-06-01,
NN,H,24,High,small,7,b,2,unknown larva,no,2023-06-01,
NN,H,24,High,small,7,b,3,unknown larva,no,2023-06-01,
NN,H,24,High,small,7,b,4,sapyga,no,2023-06-04,
NN,H,24,High,small,7,b,5,pollen mass,NA,2023-06-04,
NN,H,24,High,small,7,b,6,sapyga,no,2023-06-04,
NN,H,24,High,small,7,b,7,unknown larva,no,2023-06-04,
NN,H,24,High,small,7,b,8,pollen mass,NA,2023-06-04,
NN,H,24,High,small,10,a,1,sapyga,yes,2023-06-08,
NN,H,24,High,small,10,a,2,sapyga,yes,2023-06-11,
NN,H,24,High,small,10,a,3,osmia,yes,2023-06-15,
NN,H,24,High,small,12,a,1,sapyga,yes,2023-06-30,
NN,H,24,High,small,12,a,2,empty,NA,2023-06-30,
NN,I,25,Low,small,1,b,1,sapyga,yes,2023-06-15,
NN,I,25,Low,small,3,a,1,unknown larva,no,2023-05-29,
NN,I,25,Low,small,3,a,2,unknown larva,no,2023-05-29,
NN,I,25,Low,small,3,a,3,unknown larva,no,2023-05-29,
NN,I,25,Low,small,3,a,4,unknown larva,no,2023-05-31,
NN,I,25,Low,small,3,a,5,unknown larva,no,2023-05-31,
NN,I,25,Low,small,3,a,6,unknown larva,no,2023-05-31,
NN,I,25,Low,small,3,a,7,unknown larva,no,2023-05-31,
NN,I,25,Low,small,3,a,8,unknown larva,no,2023-06-01,
NN,I,25,Low,small,3,a,9,unknown larva,no,2023-06-01,
NN,I,25,Low,small,3,a,10,unknown larva,no,2023-06-01,
NN,I,25,Low,small,3,a,11,pollen mass,NA,2023-06-01,
NN,I,25,Low,small,3,a,12,pollen mass,NA,2023-06-04,
NN,I,25,Low,small,3,b,1,sapyga,yes,2023-06-15,
NN,I,25,Low,small,3,b,2,sapyga,yes,2023-06-15,
NN,I,25,Low,small,3,c,1,pollen mass,NA,2023-06-22,
NN,I,25,Low,small,4,a,1,unknown larva,no,2023-06-01,
NN,I,25,Low,small,4,a,2,pollen mass,NA,2023-06-04,
NN,I,25,Low,small,4,a,3,unknown larva,no,2023-06-04,
NN,I,25,Low,small,4,a,4,unknown larva,no,2023-06-04,
NN,I,25,Low,small,4,a,5,unknown larva,no,2023-06-04,
NN,I,25,Low,small,4,a,6,unknown larva,no,2023-06-04,
NN,I,25,Low,small,4,a,7,mold,NA,2023-06-04,
NN,I,25,Low,small,4,b,1,sapyga,unknown,2023-06-15,
NN,I,25,Low,small,4,b,2,unknown larva,no,2023-06-19,
NN,I,25,Low,small,6,b,1,osmia,yes,2023-06-04,
NN,I,25,Low,small,6,b,2,osmia,yes,2023-06-08,
NN,I,25,Low,small,6,b,3,osmia,yes,2023-06-08,
NN,I,25,Low,small,6,b,4,osmia,yes,2023-06-08,
NN,I,25,Low,small,6,b,5,osmia,yes,2023-06-08,
NN,I,25,Low,small,6,b,6,pollen mass,NA,2023-06-11,
NN,I,25,Low,small,6,b,7,sapyga,yes,2023-06-11,
NN,I,25,Low,small,6,b,8,osmia,yes,2023-06-11,
NN,I,25,Low,small,13,a,1,unknown larva,no,2023-05-29,
NN,I,25,Low,small,13,a,2,unknown larva,no,2023-05-29,
NN,I,25,Low,small,13,a,3,unknown larva,no,2023-05-29,
NN,I,25,Low,small,13,a,4,unknown larva,no,2023-05-31,
NN,I,25,Low,small,13,a,5,unknown larva,no,2023-05-31,
NN,I,25,Low,small,13,a,6,unknown larva,no,2023-05-31,
NN,I,25,Low,small,13,a,7,unknown larva,no,2023-05-31,
NN,I,25,Low,small,13,a,8,unknown larva,no,2023-06-01,
NN,I,25,Low,small,13,a,9,unknown larva,no,2023-06-01,
NN,I,25,Low,small,13,a,10,unknown larva,no,2023-06-01,
NN,I,25,Low,small,13,a,11,unknown larva,no,2023-06-01,
NN,I,25,Low,small,16,a,1,unknown larva,no,2023-06-08,
NN,I,25,Low,small,16,a,2,unknown larva,no,2023-06-08,
NN,I,25,Low,small,16,a,3,pollen mass,NA,2023-06-08,
NN,I,25,Low,small,16,a,4,unknown larva,no,2023-06-08,
NN,I,25,Low,small,16,a,5,unknown larva,no,2023-06-08,
NN,I,25,Low,small,16,a,6,unknown larva,no,2023-06-08,
NN,I,25,Low,small,16,a,7,pollen mass,NA,2023-06-08,
NN,J,28,Low,small,3,a,1,sapyga,yes,2023-06-22,
NN,J,28,Low,small,3,a,2,sapyga,yes,2023-06-22,
NN,J,28,Low,small,3,a,3,sapyga,yes,2023-06-30,
NN,J,28,Low,small,3,a,4,sapyga,yes,2023-06-30,
NN,J,28,Low,small,17,a,1,osmia,yes,2023-05-29,
NN,J,28,Low,small,17,a,2,sapyga,yes,2023-05-29,
NN,J,28,Low,small,17,a,3,osmia,yes,2023-05-29,
NN,J,29,Mid,medium,1,b,1,pollen mass,NA,2023-05-31,
NN,J,29,Mid,medium,1,b,2,pollen mass,NA,2023-06-01,
NN,J,29,Mid,medium,1,b,3,sapyga,unknown,2023-06-01,
NN,J,29,Mid,medium,1,b,4,sapyga,unknown,2023-06-01,
NN,J,29,Mid,medium,4,a,unknown 1,unknown larva,no,unknown,
NN,J,29,Mid,medium,4,a,unknown 2,unknown larva,no,unknown,
NN,J,29,Mid,medium,4,a,unknown 3,unknown larva,no,unknown,
NN,J,29,Mid,medium,4,a,unknown 4,unknown larva,no,unknown,
NN,J,29,Mid,medium,4,a,unknown 5,unknown larva,no,unknown,
NN,J,29,Mid,medium,4,a,unknown 6,unknown larva,no,unknown,
NN,J,29,Mid,medium,4,a,unknown 7,pollen mass,NA,unknown,
NN,J,30,High,small,12,a,1,pollen mass,NA,2023-06-22,
NN,J,30,High,small,12,a,2,pollen mass,NA,2023-06-22,
NN,J,30,High,small,12,a,3,pollen mass,NA,2023-06-30,
NN,J,30,High,small,12,a,4,pollen mass,NA,2023-06-30,
NN,J,30,High,small,12,a,5,pollen mass,NA,2023-06-30,
NN,J,30,High,small,12,a,6,pollen mass,NA,2023-06-30,
NN,J,30,High,small,12,a,7,pollen mass,NA,2023-06-30,
NN,J,30,High,small,12,a,8,pollen mass,NA,2023-06-30,
NN,J,30,High,small,12,a,9,pollen mass,NA,2023-06-30,
NN,K,32,Mid,small,8,b,1,unknown larva,no,2023-06-01,
NN,K,32,Mid,small,8,b,2,osmia,yes,2023-06-01,
NN,L,35,Mid,small,7,a,1,pollen mass,NA,2023-06-22,
NN,L,35,Mid,medium,8,a,1,sapyga,yes,2023-06-08,
NN,L,35,Mid,small,9,c,1,pollen mass,NA,2023-07-06,
NN,L,36,High,small,1,a,1,pollen mass,NA,2023-05-29,
NN,L,36,High,small,1,a,2,unknown larva,no,2023-05-31,
NN,L,36,High,small,1,a,3,unknown larva,no,2023-05-31,
NN,L,36,High,small,1,a,4,unknown larva,no,2023-05-31,
NN,L,36,High,small,1,a,5,unknown larva,no,2023-05-31,
NN,L,36,High,small,1,a,6,unknown larva,no,2023-05-31,
NN,L,36,High,small,1,a,7,unknown larva,no,2023-06-01,
NN,L,36,High,small,1,a,8,unknown larva,no,2023-06-01,
NN,L,36,High,small,1,a,9,empty,NA,2023-06-01,
NN,L,36,High,small,3,b,1,unknown larva,no,2023-06-04,
NN,L,36,High,small,3,b,2,pollen mass,NA,2023-06-04,
NN,L,36,High,small,3,b,3,unknown larva,no,2023-06-04,
NN,L,36,High,small,3,b,4,unknown larva,no,2023-06-04,
NN,L,36,High,small,3,b,5,unknown larva,no,2023-06-08,
NN,L,36,High,small,3,b,6,pollen mass,NA,2023-06-08,
NN,L,36,High,small,3,b,7,unknown larva,no,2023-06-11,
NN,L,36,High,small,3,b,8,unknown larva,no,2023-06-11,
NN,L,36,High,small,3,b,9,unknown larva,no,2023-06-15,
NN,L,36,High,small,4,b,1,pollen mass,NA,2023-05-31,
NN,L,36,High,small,4,b,2,sapyga,yes ,2023-06-01,
NN,L,36,High,small,4,b,3,osmia,no,2023-06-01,
NN,L,36,High,small,4,b,4,osmia,no,2023-06-01,
NN,L,36,High,small,4,b,5,unknown larva,no,2023-06-01,
NN,L,36,High,small,4,b,6,osmia,unknown,2023-06-04,
NN,L,36,High,small,6,a,1,osmia,yes,2023-05-29,
NN,L,36,High,small,6,a,2,sapyga,yes,2023-06-01,
NN,L,36,High,small,6,a,3,osmia,yes,2023-06-04,
NN,L,36,High,small,6,a,4,sapyga,yes,2023-06-04,
NN,L,36,High,small,8,b,1,osmia,unknown,2023-06-22,
NN,L,36,High,small,8,b,2,pollen mass,NA,2023-06-30,
NN,L,36,High,medium,9,a,1,pollen mass,NA,2023-05-31,
NN,L,36,High,medium,9,a,2,sapyga,yes ,2023-05-31,
NN,L,36,High,small,13,b,1,unknown larva,no,2023-06-04,
NN,L,36,High,small,13,b,2,unknown larva,no,2023-06-04,
NN,L,36,High,small,13,b,3,osmia,yes,2023-06-04,
NN,L,36,High,small,15,b,1,osmia,unknown,2023-06-08,
NN,L,36,High,small,15,b,2,empty,NA,2023-06-08,
BP,Q,50,Mid,small,12,a,1,empty,NA,2023-07-04,
BP,Q,51,High,small,4,a,1,empty,NA,2023-07-04,
CP,U,62,Mid,small,15,a,1,unknown larva,unknown,2023-07-05,
CP,U,62,Mid,small,15,a,1,pollen mass,NA,2023-07-05,
CP,U,62,Mid,small,15,a,1,unknown larva,unknown,2023-07-07,
CP,U,62,Mid,small,15,a,1,unknown larva,no,2023-07-07,
CP,V,64,Low,small,14,a,1,pollen mass,NA,2023-07-05,
CP,V,64,Low,small,14,a,2,osmia,no,2023-07-05,
CP,V,64,Low,small,14,a,3,osmia,no,2023-07-05,
CP,V,64,Low,small,14,a,4,osmia,no,2023-07-07,
CP,V,64,Low,small,14,a,5,osmia,no,2023-07-07,
CP,V,64,Low,small,14,a,6,pollen mass,NA,2023-07-07,
CP,V,64,Low,small,14,a,7,pollen mass,NA,2023-07-07,
CP,V,64,Low,small,14,a,8,pollen mass,NA,2023-07-10,
CP,V,64,Low,small,14,a,9,pollen mass,NA,2023-07-10,
CP,V,64,Low,small,14,a,10,unknown larva,no,2023-07-10,
CP,V,64,Low,small,14,a,11,unknown larva,no,2023-07-10,
