Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Cell_number,Cell_occupant,Living,Date,Comments
BP,B,6,High,small,15,a,7,sapyga,yes,2023-06-02,
BP,B,6,High,small,15,a,8,sapyga,yes,2023-06-05,
BP,B,6,High,small,15,a,9,osmia,yes,2023-06-05,mold present 
BP,B,6,High,small,15,a,10,sapyga,yes,2023-06-05,
BP,B,6,High,small,15,a,11,sapyga,yes,2023-06-05,
BP,B,6,High,small,15,a,12,pollen mass,NA,2023-06-05,
BP,C,7,Low,small,2,a,1,osmia,yes,2023-05-29,
BP,C,7,Low,small,2,a,2,osmia,yes,2023-05-29,
BP,C,7,Low,small,2,a,3,pollen mass,NA,2023-05-29,
BP,C,7,Low,small,2,a,4,pollen mass,NA,2023-05-29,
BP,C,7,Low,small,3,a,1,unknown larva,no,2023-05-22,
BP,C,7,Low,small,3,a,2,unknown larva,no,2023-05-23,
BP,C,7,Low,small,3,b,1,pollen mass,NA,2023-05-31,
BP,C,7,Low,small,3,b,2,pollen mass,NA,2023-05-31,
BP,C,7,Low,small,3,b,3,pollen mass,NA,2023-05-31,
BP,C,7,Low,small,3,b,4,pollen mass,NA,2023-06-02,
BP,C,7,Low,small,3,b,5,osmia,yes,2023-06-02,
BP,C,7,Low,small,3,b,6,osmia,yes,2023-06-02,
BP,C,7,Low,small,3,b,7,osmia,yes,2023-06-05,
BP,C,7,Low,small,3,b,8,osmia,yes,2023-06-05,
BP,C,7,Low,small,3,b,9,pollen mass,NA,2023-06-05,
BP,C,7,Low,small,3,c,1,empty,NA,2023-06-14,
BP,C,7,Low,small,9,a,1,osmia,yes,2023-06-23,
BP,C,7,Low,small,9,a,2,osmia,yes,2023-06-23,
BP,C,7,Low,small,9,a,3,empty,NA,2023-06-23,
BP,C,7,Low,small,12,a,1,pollen mass,NA,2023-05-29,
BP,C,7,Low,small,14,a,1,pollen mass,NA,2023-05-29,
BP,C,7,Low,small,14,a,2,pollen mass,NA,2023-05-29,
BP,C,7,Low,small,14,a,3,pollen mass,NA,2023-05-31,
BP,C,7,Low,small,14,a,4,pollen mass,NA,2023-05-31,
BP,C,7,Low,small,14,a,5,osmia,yes,2023-05-31,
BP,C,7,Low,small,14,a,6,pollen mass,NA,2023-05-31,
BP,C,7,Low,small,14,a,7,pollen mass,NA,2023-05-31,
BP,C,7,Low,small,14,a,8,osmia,no,2023-05-31,
BP,C,7,Low,small,14,a,9,pollen mass,NA,2023-06-02,
BP,C,7,Low,small,14,a,10,pollen mass,NA,2023-06-02,
BP,C,7,Low,small,14,a,11,pollen mass,NA,2023-06-02,
BP,C,7,Low,small,14,a,12,pollen mass,NA,2023-06-02,
BP,C,7,Low,small,14,a,13,pollen mass,NA,2023-06-02,
BP,C,7,Low,small,14,a,14,pollen mass,NA,2023-06-05,
BP,C,7,Low,small,14,a,15,pollen mass,NA,2023-06-05,
BP,C,7,Low,small,14,a,16,pollen mass,NA,2023-06-05,
BP,C,7,Low,small,14,a,17,pollen mass,NA,2023-06-05,
BP,C,7,Low,small,14,a,18,pollen mass,NA,2023-06-05,
BP,C,7,Low,small,14,a,19,pollen mass,NA,2023-06-05,
BP,C,7,Low,small,15,a,1,unknown larva,no,2023-05-29,
BP,C,7,Low,small,15,a,2,unknown larva,no,2023-05-29,
BP,C,7,Low,small,15,a,3,unknown larva,no,2023-05-29,
BP,C,7,Low,small,15,a,4,unknown larva,no,2023-05-29,
BP,C,7,Low,small,15,a,5,unknown larva,no,2023-05-31,
BP,C,7,Low,small,15,a,6,unknown larva,no,2023-05-31,
BP,C,7,Low,small,15,a,7,unknown larva,no,2023-05-31,
